,ACT,Sung By
0,Belmont Avenue,Calogero and Ensemble
1,Look to Your Heart,Lorenzo and Young Calogero
2,Roll 'Em,"Sonny, Young Calogero and Ensemble"
3,I Like It,Young Calogero and Ensemble
4,Giving Back the Money,"Lorenzo, Young Calogero, Rosina and Sonny"
5,I Like It ,"Calogero, Young Calogero, Sonny and Ensemble"
6,Ain't It the Truth,"Calogero, Nicky the Mook, Crazy Mario and Slick"
7,Out of Your Head,"Calogero, Jane and Ensemble"
8,Nicky Machiavelli,"Sonny, Rudy the Voice, Eddie Mush, Frankie Coffeecake, JoJo the Whale and Tony-Ten-To-Two"
9,These Streets,"Lorenzo, Sonny, Rosina and Ensemble"
10,Webster Avenue,"Jane, Calogero, Tyrone, Jesse, Denise and Frieda"
11,Out of Your Head ,Jane
12,One of the Great Ones,Sonny
13,Ain't It the Truth ,Tyrone and Jesse
14,Look to Your Heart ,Rosina
15,One of the Great Ones ,Calogero
16,Hurt Someone,The Company
17,In a World Like This,"Calogero, Jane and Ensemble"
18,The Choices We Make,The Company
