,ACT,Sung By
0,Huckleberry Pie,Celie and Nettie
1,Mysterious Ways,Company
2,Somebody Gonna Love You,Celie
3,Our Prayer,"Nettie, Celie and Mister"
4,Big Dog,Mister and Men
5,Hell No!,Sofia and Women
6,Brown Betty,"Harpo, Squeak and Men"
7,Shug Avery Comin' to Town,"Mister, Celie and Company"
8,Too Beautiful for Words,Shug Avery
9,Push Da Button,Shug Avery and Company
10,Uh-Oh!,Company
11,What About Love?,Celie and Shug Avery
12,African Homeland,"Nettie, Celie and Company"
13,The Color Purple,Shug Avery
14,Mister's Song,Mister
15,Miss Celie's Pants,Celie and Women
16,Any Little Thing,Harpo and Sofia
17,I'm Here,Celie
18,The Color Purple  ,Celie and Company
