,ACT,Sung By
0,Ces Soirées-La (Oh What a Night) ,French Rap Star and Backup Group
1,Silhouettes ,"Tommy DeVito, Nick Massi, Nick DeVito and Frankie Castelluccio"
2,You're the Apple of My Eye ,"Tommy DeVito, Nick Massi and Nick DeVito"
3,I Can't Give You Anything But Love ,Frankie Castelluccio
4,Earth Angel ,Tommy DeVito and Full Company
5,Sunday Kind of Love ,"Frankie Valli, Tommy DeVito, Nick Massi and Nick's Date"
6,My Mother's Eyes ,Frankie Valli
7,I Go Ape ,The Four Lovers
8,(Who Wears) Short Shorts ,The Royal Teens
9,I'm in the Mood for Love/Moody's Mood for Love ,Frankie Valli
10,Cry for Me ,"Bob Gaudio, Frankie Valli, Tommy DeVito and Nick Massi"
11,An Angel Cried ,Hal Miller  and The Rays
12,I Still Care ,Miss Frankie Nolan  and The Romans
13,Trance ,Billy Dixon and The Topix
14,Sherry ,The Four Seasons
15,Big Girls Don't Cry,The Four Seasons
16,Walk Like a Man,The Four Seasons
17,"December, 1963 (Oh What a Night) ",Bob Gaudio and Full Company
18,My Boyfriend's Back ,The Angels
19,My Eyes Adored You ,"Frankie Valli, Mary Delgado and The Four Seasons"
20,Dawn (Go Away) ,The Four Seasons
21,Walk Like a Man  ,Full Company
22,Big Man in Town ,The Four Seasons
23,Beggin' ,The Four Seasons
24,Stay ,"Bob Gaudio, Frankie Valli and Nick Massi"
25,Let's Hang On (To What We've Got) ,Bob Gaudio and Frankie Valli
26,Opus 17 (Don't You Worry 'Bout Me) ,"Bob Gaudio, Frankie Valli and The New Seasons"
27,Bye Bye Baby,Frankie Valli and The Four Seasons
28,C'mon Marianne ,Frankie Valli and The Four Seasons
29,Can't Take My Eyes Off of You,Frankie Valli
30,Working My Way Back to You ,Frankie Valli and The Four Seasons
31,Fallen Angel ,Frankie Valli
32,Rag Doll,The Four Seasons
33,Who Loves You ,The Four Seasons and Full Company
