,ACT,Sung By
0,Four Jews in a Room Bitching,"Whizzer, Marvin, Jason, Mendel and Trina"
1,A Tight Knit Family,Marvin
2,Love Is Blind,"Marvin, Jason, Whizzer, Mendel and Trina"
3,Thrill of First Love,Marvin and Whizzer
4,Marvin at the Psychiatrist (A Three-Part Mini-Opera),"Jason, Mendel, Whizzer and Marvin"
5,Everyone Tells Jason to See a Psychiatrist,"Jason, Marvin, Trina and Whizzer"
6,This Had Better Come to a Stop,"Marvin, Whizzer, Jason, Trina and Mendel"
7,I'm Breaking Down,Trina
8,Jason's Therapy,"Mendel, Trina, Whizzer, Marvin and Jason"
9,A Marriage Proposal,Mendel and Trina
10,A Tight Knit Family ,Marvin and Mendel
11,Trina's Song,Trina
12,March of the Falsettos,"Mendel, Marvin, Jason and Whizzer"
13,Trina's Song ,Trina
14,The Chess Game,Marvin and Whizzer
15,Making a Home,"Mendel, Jason, Trina and Whizzer"
16,The Games I Play,Whizzer
17,Marvin Goes Crazy,"Marvin, Mendel, Jason, Trina and Whizzer"
18,I Never Wanted to Love You,"Marvin, Mendel, Jason, Trina and Whizzer"
19,Father to Son,Marvin and Jason
20,Welcome to Falsettoland,Company
21,The Year of the Child,"Jason, Trina, Marvin, Mendel, Dr. Charlotte and Cordelia"
22,Miracle of Judaism,Company
23,The Baseball Game,Company
24,A Day in Falsettoland,Company
25,Everyone Hates His Parents,"Mendel, Jason, Marvin and Trina"
26,What More Can I Say?,Marvin
27,Something Bad Is Happening,"Dr. Charlotte, Cordelia, Marvin and Whizzer"
28,Holding to the Ground,Trina
29,Days Like This I Almost Believe in God,Company
30,Cancelling the Bar Mitzvah,"Jason, Mendel and Trina"
31,Unlikely Lovers,"Marvin, Whizzer, Dr. Charlotte and Cordelia"
32,Another Miracle of Judaism,Jason
33,You Gotta Die Sometime,Whizzer
34,Jason's Bar Mitzvah,Company
35,What Would I Do?,Marvin and Whizzer
