,ACT,Sung By
0,Deep Beneath the City,All
1,Not There Yet,All
2,Do What I Do,Jane
3,Four Days Home,"Trent, Steven and All"
4,Broke,Nate
5,Saturday Night Obsession,Ali
6,Wingman,Chris and All
7,"But, Ya Know",Nate and Jane
8,Not There Yet ,"Ali, Trent, Jane, Nate and Althea"
9,Keep It Goin',Althea and All
10,A Little Friendly Advice,Ms. Williams
11,Choosing Not to Know,Trent
12,The Moving Song,Ali
13,We Are Home,Steven and Trent
14,Getting There,Jane
