,ACT,Sung By
0,No One Mourns the Wicked,Glinda and Citizens of Oz
1,Dear Old Shiz,Students
2,The Wizard and I,Madame Morrible and Elphaba
3,What Is This Feeling?,"Glinda, Elphaba and Students"
4,Something Bad,Doctor Dillamond and Elphaba
5,Dancing Through Life,"Fiyero, Glinda, Boq, Nessarose, Elphaba and Students"
6,Popular,Glinda
7,I'm Not That Girl,Elphaba
8,One Short Day,"Elphaba, Glinda and Denizens of the Emerald City"
9,A Sentimental Man,The Wonderful Wizard of Oz
10,Defying Gravity,"Elphaba, Glinda, Guards and Citizens of Oz"
11,No One Mourns the Wicked ,Citizens of Oz
12,Thank Goodness,"Glinda, Madame Morrible and Citizens of Oz"
13,The Wicked Witch of the East,"Elphaba, Nessarose and Boq"
14,Wonderful,The Wonderful Wizard of Oz and Elphaba
15,I'm Not That Girl ,Glinda
16,As Long As You're Mine,Elphaba and Fiyero
17,No Good Deed,Elphaba
18,March of the Witch Hunters,Boq and Citizens of Oz
19,For Good,Glinda and Elphaba
20,Finale,All
