,ACT,Sung By
0,Circle of Life,Rafiki and Ensemble
1,The Morning Report,"Zazu, Young Simba and Mufasa"
2,I Just Can't Wait to Be King,"Young Simba, Young Nala, Zazu and Ensemble"
3,Chow Down,"Shenzi, Banzai and Ed"
4,They Live in You ,Mufasa and Ensemble
5,Be Prepared,"Scar, Shenzi, Banzai, Ed and Ensemble"
6,Be Prepared ,Scar and Ensemble
7,Hakuna Matata,"Timon, Pumbaa, Young Simba, Simba and Ensemble"
8,One by One ,Ensemble
9,The Madness of King Scar,"Scar, Zazu, Banzai, Shenzi, Ed and Nala"
10,Shadowland ,"Nala, Rafiki and Ensemble"
11,Endless Night ,Simba and Ensemble
12,Can You Feel the Love Tonight,"Timon, Pumbaa, Simba, Nala and Ensemble"
13,They Live in You ,"Rafiki, Simba and Ensemble"
14,King of Pride Rock ,Ensemble
15,Circle of Life ,Ensemble
