,ACT,Sung By
0,Miracle,Company
1,Naughty,Matilda
2,School Song,Company
3,Pathetic,Miss Honey
4,The Hammer,"Miss Trunchbull, Miss Honey and Children"
5,The Chokey Chant,Company
6,Loud,Mrs. Wormwood and Rudolpho
7,This Little Girl,Miss Honey
8,Bruce,Children
9,Telly,Mr. Wormwood and Michael Wormwood
10,When I Grow Up,Company
11,I'm Here,Matilda and The Escapologist
12,The Smell of Rebellion,"Miss Trunchbull, Miss Honey and Children"
13,Quiet,Matilda
14,My House,Miss Honey
15,Revolting Children,Company
