,ACT,Sung By
0,What's Inside,Jenna and Company
1,Opening Up,"Jenna, Becky, Dawn, Cal and Company"
2,The Negative,"Jenna, Becky and Dawn"
3,What Baking Can Do,Jenna
4,When He Sees Me,Dawn and Company
5,It Only Takes a Taste,Dr. Pomatter and Jenna
6,You Will Still Be Mine,Earl and Jenna
7,A Soft Place to Land,"Jenna, Becky and Dawn"
8,Never Ever Getting Rid of Me,Ogie and Company
9,Bad Idea,"Jenna, Dr. Pomatter and Company"
10,I Didn't Plan It,Becky
11,Bad Idea ,Company
12,You Matter to Me,Dr. Pomatter and Jenna
13,I Love You Like a Table,"Ogie, Dawn and Company"
14,Take It From an Old Man,Joe and Company
15,She Used to Be Mine,Jenna
16,Everything Changes,Jenna and Company
17,Opening Up (Finale),Company
