,ACT,Sung By
0,The Hollywood Wiz,
1,Lila's Song,
2,Ginger Top,
3,Something More,
4,AJ's Blues,
5,The Muse,
6,Serenade from a Window,
7,The Honeymoon Days of Fame,
8,The Goddess of Egypt,
9,Help a Girl Choose (Part One),
10,Help a Girl Choose (Part Two),
11,Revenge Fantasies,
12,The Muse ,
13,Love Triangle,
14,Writer's Block,
15,Everything (The Lover's Theme),
16,Everything (The Lover's Theme) ,
