,ACT,Sung By
0,Welcome to the Renaissance,Minstrel and Company
1,"God, I Hate Shakespeare","Nick Bottom, Nigel Bottom and The Troupe"
2,Right Hand Man,Bea and Nick Bottom
3,"God, I Hate Shakespeare ",Nick Bottom
4,A Musical,"Nostradamus, Nick Bottom and Ensemble"
5,The Black Death,The Troupe
6,I Love the Way,Portia and Nigel Bottom
7,Will Power,Shakespeare and Ensemble
8,Bottom's Gonna Be on Top,Nick Bottom and Company
9,Welcome to the Renaissance ,Minstrel
10,Hard to Be the Bard,Shakespeare and Ensemble
11,It's Eggs!,Nick Bottom and The Troupe
12,We See the Light,"Portia, Nigel Bottom, Brother Jeremiah, Nick Bottom and Ensemble"
13,To Thine Own Self,"Nigel Bottom, Nick Bottom, Shakespeare and The Troupe"
14,Right Hand Man ,Bea
15,Something Rotten!,The Troupe
16,Make an Omelette,Nick Bottom and Company
17,To Thine Own Self ,Nick Bottom
18,Finale,The Company
