,ACT,Sung By
0,1-2-3 ,
1,Anything for You ,
2,Coming Out of the Dark ,
3,Con los Años Que Me Quedan ,
4,Conga ,
5,Cuando Salí de Cuba ,
6,Cuba Libre ,
7,Don't Wanna Lose You ,
8,Dr. Beat ,
9,Everlasting Love ,
10,Famous ,
11,Get on Your Feet ,
12,Here We Are ,
13,I See Your Smile ,
14,If I Never Got to Tell You ,
15,Live for Loving You ,
16,Mi Tierra ,
17,Oye ,
18,Oye Mi Canto ,
19,Party Time ,
20,Reach ,
21,Rhythm Is Gonna Get You ,
22,Tradicíon ,
23,Turn the Beat Around ,
24,When Someone Comes Into Your Life ,
25,Wrapped ,
