,ACT,Sung By
0,Price & Son Theme,Full Company
1,The Most Beautiful Thing,Full Company
2,Take What You Got,"Harry, Charlie Price and Ensemble"
3,The Land of Lola,Lola and Angels
4,The Land of Lola ,Lola and Angels
5,Step One,Charlie Price
6,Sex Is in the Heel,"Lola, Pat, George and Ensemble"
7,The History of Wrong Guys,Lauren
8,I'm Not My Father's Son,Lola and Charlie Price
9,Everybody Say Yeah,"Charlie Price, Lola and Ensemble"
10,Price & Son Theme ,Full Company
11,What A Woman Wants,"Lola, Pat, Don, George and Ensemble"
12,In This Corner,"Lola, Don, Pat, Trish and Ensemble"
13,The Soul of a Man,Charlie Price
14,Hold Me In Your Heart,Lola
15,Raise You Up/Just Be,Full Company
