,ACT,Sung By
0,Hello!,
1,Two By Two,
2,You And Me (But Mostly Me),
3,Hasa Diga Eebowai,
4,Turn It Off,
5,I Am Here For You,
6,All American Prophet,
7,Sal Tlay Ka Siti,
8,Man Up,
9,Making Things Up Again,
10,Spooky Mormon Hell Dream,
11,I Believe,
12,Baptize Me,
13,I Am Africa,
14,Joseph Smith American Moses,
15,Tomorrow Is a Latter Day,
