,ACT,Sung By
0,So Far Away ,Carole King
1,Oh Carol ,Neil Sedaka
2,1650 Broadway Medley,Ensemble
3,It Might as Well Rain Until September ,Carole King
4,Be-Bop-A-Lula ,Ensemble
5,Some Kind of Wonderful ,"Carole King, Gerry Goffin and The Drifters"
6,Happy Days Are Here Again ,Cynthia Weil
7,Take Good Care of My Baby ,Gerry Goffin and Carole King
8,Who Put the Bomp ,Barry Mann
9,Will You Love Me Tomorrow ,Carole King
10,He's Sure the Boy I Love ,Cynthia Weil and Barry Mann
11,Will You Love Me Tomorrow ,The Shirelles
12,Up on the Roof ,Gerry Goffin and The Drifters
13,On Broadway ,The Drifters
14,The Locomotion ,Little Eva and Ensemble
15,You've Lost That Lovin' Feeling ,The Righteous Brothers
16,One Fine Day ,Janelle and Ensemble
17,Chains ,Carole King and Ensemble
18,Walking in the Rain ,Barry Mann and Cynthia Weil
19,Pleasant Valley Sunday ,"Marilyn Wald, Gerry Goffin, Carole King and Ensemble"
20,We Gotta Get Out of This Place ,Barry Mann
21,Will You Love Me Tomorrow ,Carole King
22,Uptown,Ensemble
23,It's Too Late ,Carole King
24,You've Got a Friend ,"Carole King, Barry Mann, Cynthia Weil and Don Kirshner"
25,(You Make Me Feel Like) A Natural Woman ,Carole King and Ensemble
26,Beautiful ,Carole King
27,I Feel the Earth Move ,Carole King and Ensemble
