,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
144,"Feb 23, 2014","$1,200,517",94%,"11,492",100%,0,8
145,"Feb 16, 2014","$1,146,444",89%,"10,340",90%,0,8
146,"Feb 9, 2014","$926,219",73%,"10,243",89%,0,8
147,"Feb 2, 2014","$969,639",76%,"10,910",95%,0,8
148,"Jan 26, 2014","$1,053,614",83%,"11,106",97%,0,8
149,"Jan 19, 2014","$1,130,146",89%,"10,594",92%,0,8
150,"Jan 12, 2014","$1,138,576",89%,"11,221",98%,0,8
151,"Jan 5, 2014","$1,654,803",130%,"11,544",101%,0,8
152,"Dec 29, 2013","$1,732,800",136%,"11,544",101%,0,8
153,"Dec 22, 2013","$1,286,509",101%,"11,265",98%,0,8
154,"Dec 15, 2013","$1,157,142",91%,"11,178",98%,0,8
155,"Dec 8, 2013","$1,190,187",93%,"11,122",97%,0,8
156,"Dec 1, 2013","$1,657,599",129%,"11,544",101%,0,8
157,"Nov 24, 2013","$1,018,332",80%,"10,077",88%,0,8
158,"Nov 17, 2013","$1,062,604",83%,"10,279",90%,0,8
159,"Nov 10, 2013","$1,157,911",91%,"10,956",96%,0,8
160,"Nov 3, 2013","$1,084,210",85%,"10,763",94%,0,8
161,"Oct 27, 2013","$1,176,019",92%,"11,317",99%,0,8
162,"Oct 20, 2013","$1,278,480",100%,"10,773",94%,0,8
163,"Oct 13, 2013","$1,430,085",111%,"11,499",100%,0,8
164,"Oct 6, 2013","$1,170,047",92%,"11,250",98%,0,8
165,"Sep 29, 2013","$1,148,640",90%,"11,013",96%,0,8
166,"Sep 22, 2013","$1,171,253",92%,"11,016",96%,0,8
167,"Sep 15, 2013","$1,041,882",82%,"10,485",92%,0,8
168,"Sep 8, 2013","$1,099,556",86%,"10,102",88%,0,8
169,"Sep 1, 2013","$1,335,417",105%,"11,540",101%,0,8
170,"Aug 25, 2013","$1,320,097",104%,"11,539",101%,0,8
171,"Aug 18, 2013","$1,329,084",104%,"11,542",101%,0,8
172,"Aug 11, 2013","$1,313,384",103%,"11,538",101%,0,8
173,"Aug 4, 2013","$1,286,980",101%,"11,542",101%,0,8
174,"Jul 28, 2013","$1,280,729",100%,"11,542",101%,0,8
175,"Jul 21, 2013","$1,288,941",101%,"11,539",101%,0,8
176,"Jul 14, 2013","$1,271,034",100%,"11,515",101%,0,8
177,"Jul 7, 2013","$1,307,168",103%,"11,455",100%,0,8
178,"Jun 30, 2013","$1,222,047",96%,"11,459",100%,0,8
179,"Jun 23, 2013","$1,222,026",96%,"11,456",100%,0,8
180,"Jun 16, 2013","$1,184,104",93%,"11,456",100%,0,8
181,"Jun 9, 2013","$1,138,232",89%,"11,457",100%,0,8
182,"Jun 2, 2013","$1,157,633",91%,"11,455",100%,0,8
183,"May 26, 2013","$1,105,554",87%,"11,456",100%,0,8
184,"May 19, 2013","$1,063,972",83%,"11,456",100%,0,8
185,"May 12, 2013","$1,124,333",88%,"11,456",100%,0,8
186,"May 5, 2013","$1,103,030",87%,"11,455",100%,0,8
187,"Apr 28, 2013","$1,107,815",87%,"11,454",100%,0,8
188,"Apr 21, 2013","$1,129,419",89%,"11,402",100%,0,8
189,"Apr 14, 2013","$745,923",72%,"9,867",99%,3,4
190,"Apr 7, 2013","$915,507",89%,"9,996",100%,7,0
191,"Mar 31, 2013","$960,998",93%,"9,998",100%,7,0
192,"Mar 24, 2013","$834,560",81%,"9,935",99%,7,0
193,"Mar 17, 2013","$835,432",81%,"9,946",100%,7,0
194,"Mar 10, 2013","$634,789",73%,"8,228",96%,6,0
