,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$1,263,262",104%,"11,274",98%,0,8
1,"Nov 20, 2016","$870,124",72%,"10,076",88%,0,8
2,"Nov 13, 2016","$955,175",79%,"10,929",95%,0,8
3,"Nov 6, 2016","$760,551",63%,"9,840",86%,0,8
4,"Oct 30, 2016","$693,491",57%,"9,270",81%,0,8
5,"Oct 23, 2016","$860,792",71%,"10,686",93%,0,8
6,"Oct 16, 2016","$820,659",68%,"10,303",90%,0,8
7,"Oct 9, 2016","$821,962",68%,"9,933",87%,0,8
8,"Oct 2, 2016","$654,267",54%,"8,825",77%,0,8
9,"Sep 25, 2016","$574,430",47%,"8,110",71%,0,8
10,"Sep 18, 2016","$746,559",62%,"10,588",92%,0,8
11,"Sep 11, 2016","$636,363",53%,"8,908",78%,0,8
12,"Sep 4, 2016","$771,549",64%,"9,393",82%,0,8
13,"Aug 28, 2016","$760,932",63%,"9,389",82%,0,8
14,"Aug 21, 2016","$800,361",67%,"9,532",83%,0,8
15,"Aug 14, 2016","$876,824",73%,"10,341",90%,0,8
16,"Aug 7, 2016","$937,756",78%,"10,718",94%,0,8
17,"Jul 31, 2016","$997,525",83%,"11,173",98%,0,8
18,"Jul 24, 2016","$956,433",80%,"10,863",95%,0,8
19,"Jul 17, 2016","$939,859",78%,"10,929",95%,0,8
20,"Jul 10, 2016","$939,097",78%,"10,896",95%,0,8
21,"Jul 3, 2016","$946,216",72%,"11,047",96%,0,8
22,"Jun 26, 2016","$990,756",75%,"11,258",98%,0,8
23,"Jun 19, 2016","$831,317",63%,"10,311",90%,0,8
24,"Jun 12, 2016","$911,510",69%,"11,011",96%,0,8
25,"Jun 5, 2016","$815,427",62%,"10,465",91%,0,8
26,"May 29, 2016","$822,013",62%,"9,974",87%,0,8
27,"May 22, 2016","$735,485",55%,"9,645",84%,0,8
28,"May 15, 2016","$591,874",45%,"7,997",70%,0,8
29,"May 8, 2016","$675,744",51%,"8,697",76%,0,8
30,"May 1, 2016","$760,351",57%,"9,030",79%,0,8
31,"Apr 24, 2016","$794,697",60%,"9,651",84%,0,8
32,"Apr 17, 2016","$774,997",58%,"9,529",83%,0,8
33,"Apr 10, 2016","$807,649",61%,"9,796",86%,0,8
34,"Apr 3, 2016","$1,112,189",84%,"10,741",94%,0,8
35,"Mar 27, 2016","$1,237,341",93%,"11,393",99%,0,8
36,"Mar 20, 2016","$939,959",71%,"10,972",96%,0,8
37,"Mar 13, 2016","$683,263",51%,"8,745",76%,0,8
38,"Mar 6, 2016","$546,268",41%,"7,576",66%,0,8
39,"Feb 28, 2016","$528,382",40%,"7,222",63%,0,8
40,"Feb 21, 2016","$810,342",61%,"9,770",85%,0,8
41,"Feb 14, 2016","$837,763",63%,"9,780",85%,0,8
42,"Feb 7, 2016","$546,352",41%,"7,957",69%,0,8
43,"Jan 31, 2016","$684,547",52%,"9,267",81%,0,8
44,"Jan 24, 2016","$368,576",37%,"5,533",64%,0,6
45,"Jan 17, 2016","$716,542",54%,"8,698",76%,0,8
46,"Jan 10, 2016","$689,029",52%,"8,988",78%,0,8
47,"Jan 3, 2016","$1,556,824",105%,"12,947",100%,0,9
48,"Dec 27, 2015","$1,172,663",101%,"9,904",99%,0,7
49,"Dec 20, 2015","$916,089",69%,"9,653",84%,0,8
50,"Dec 13, 2015","$776,648",58%,"8,803",77%,0,8
51,"Dec 6, 2015","$789,026",59%,"8,902",78%,0,8
52,"Nov 29, 2015","$1,158,878",87%,"10,485",92%,0,8
53,"Nov 22, 2015","$683,499",51%,"8,322",73%,0,8
54,"Nov 15, 2015","$735,997",55%,"8,849",77%,0,8
55,"Nov 8, 2015","$811,640",55%,"10,250",80%,0,9
56,"Nov 1, 2015","$555,965",48%,"7,486",75%,0,7
57,"Oct 25, 2015","$768,398",58%,"9,377",82%,0,8
58,"Oct 18, 2015","$795,271",60%,"9,572",84%,0,8
59,"Oct 11, 2015","$869,471",66%,"9,528",83%,0,8
60,"Oct 4, 2015","$662,128",50%,"8,175",71%,0,8
61,"Sep 27, 2015","$624,478",47%,"8,046",70%,0,8
62,"Sep 20, 2015","$766,043",60%,"10,179",89%,0,8
63,"Sep 13, 2015","$715,374",56%,"9,647",84%,0,8
64,"Sep 6, 2015","$748,542",59%,"9,302",81%,0,8
65,"Aug 30, 2015","$841,368",66%,"10,043",88%,0,8
66,"Aug 23, 2015","$937,915",74%,"10,854",95%,0,8
67,"Aug 16, 2015","$1,002,243",79%,"11,077",97%,0,8
68,"Aug 9, 2015","$1,109,694",87%,"11,444",100%,0,8
69,"Aug 2, 2015","$1,108,854",87%,"11,480",100%,0,8
70,"Jul 26, 2015","$1,133,454",89%,"11,462",100%,0,8
71,"Jul 19, 2015","$1,110,520",87%,"11,439",100%,0,8
72,"Jul 12, 2015","$1,077,379",85%,"11,416",100%,0,8
73,"Jul 5, 2015","$1,039,197",82%,"11,456",100%,0,8
74,"Jun 28, 2015","$1,117,587",88%,"11,495",100%,0,8
75,"Jun 21, 2015","$1,044,453",82%,"11,375",99%,0,8
76,"Jun 14, 2015","$1,058,673",83%,"11,446",100%,0,8
77,"Jun 7, 2015","$873,458",69%,"10,887",95%,0,8
78,"May 31, 2015","$876,521",69%,"10,661",93%,0,8
79,"May 24, 2015","$941,402",74%,"10,931",95%,0,8
80,"May 17, 2015","$846,868",66%,"10,693",93%,0,8
81,"May 10, 2015","$762,461",60%,"9,709",85%,0,8
82,"May 3, 2015","$735,660",58%,"9,430",82%,0,8
83,"Apr 26, 2015","$995,903",78%,"11,296",99%,0,8
84,"Apr 19, 2015","$953,753",75%,"10,933",95%,0,8
85,"Apr 12, 2015","$1,248,351",98%,"11,429",100%,0,8
86,"Apr 5, 2015","$1,416,637",111%,"11,493",100%,0,8
87,"Mar 29, 2015","$1,137,135",89%,"11,486",100%,0,8
88,"Mar 22, 2015","$1,049,234",82%,"11,514",101%,0,8
89,"Mar 15, 2015","$949,057",74%,"11,067",97%,0,8
90,"Mar 8, 2015","$714,894",56%,"8,992",78%,0,8
91,"Mar 1, 2015","$701,215",55%,"8,783",77%,0,8
92,"Feb 22, 2015","$1,037,118",81%,"11,482",100%,0,8
93,"Feb 15, 2015","$945,588",73%,"9,976",87%,0,8
94,"Feb 8, 2015","$692,151",54%,"9,328",81%,0,8
95,"Feb 1, 2015","$682,942",54%,"9,085",79%,0,8
96,"Jan 25, 2015","$805,176",63%,"10,110",88%,0,8
97,"Jan 18, 2015","$987,374",77%,"11,041",96%,0,8
98,"Jan 11, 2015","$879,385",69%,"10,640",93%,0,8
99,"Jan 4, 2015","$1,502,817",118%,"11,543",101%,0,8
100,"Dec 28, 2014","$1,637,071",126%,"11,541",101%,0,8
101,"Dec 21, 2014","$1,078,021",85%,"10,313",90%,0,8
102,"Dec 14, 2014","$900,826",71%,"9,335",81%,0,8
103,"Dec 7, 2014","$928,149",73%,"9,285",81%,0,8
104,"Nov 30, 2014","$1,454,493",113%,"11,463",100%,0,8
105,"Nov 23, 2014","$764,003",60%,"8,418",73%,0,8
106,"Nov 16, 2014","$744,214",58%,"8,578",75%,0,8
107,"Nov 9, 2014","$892,409",70%,"9,892",86%,0,8
108,"Nov 2, 2014","$760,087",60%,"9,441",82%,0,8
109,"Oct 26, 2014","$820,242",64%,"9,773",85%,0,8
110,"Oct 19, 2014","$941,606",74%,"10,815",94%,0,8
111,"Oct 12, 2014","$1,092,670",85%,"10,962",96%,0,8
112,"Oct 5, 2014","$713,487",55%,"8,205",72%,0,8
113,"Sep 28, 2014","$776,248",60%,"8,761",76%,0,8
114,"Sep 21, 2014","$672,778",52%,"7,776",68%,0,8
115,"Sep 14, 2014","$805,004",63%,"10,050",88%,0,8
116,"Sep 7, 2014","$803,129",62%,"10,024",88%,0,8
117,"Aug 31, 2014","$1,096,864",86%,"11,398",99%,0,8
118,"Aug 24, 2014","$1,091,719",86%,"11,452",100%,0,8
119,"Aug 17, 2014","$1,127,748",88%,"11,459",100%,0,8
120,"Aug 10, 2014","$1,196,626",94%,"11,496",100%,0,8
121,"Aug 3, 2014","$1,201,174",94%,"11,546",101%,0,8
122,"Jul 27, 2014","$1,196,994",94%,"11,540",101%,0,8
123,"Jul 20, 2014","$1,167,031",92%,"11,544",101%,0,8
124,"Jul 13, 2014","$1,101,510",86%,"11,501",100%,0,8
125,"Jul 6, 2014","$1,089,356",86%,"11,446",100%,0,8
126,"Jun 29, 2014","$1,176,510",92%,"11,504",100%,0,8
127,"Jun 22, 2014","$1,139,392",89%,"11,533",101%,0,8
128,"Jun 15, 2014","$1,047,222",82%,"11,219",98%,0,8
129,"Jun 8, 2014","$967,335",76%,"10,630",93%,0,8
130,"Jun 1, 2014","$949,295",74%,"10,529",92%,0,8
131,"May 25, 2014","$1,090,839",86%,"11,194",98%,0,8
132,"May 18, 2014","$930,186",73%,"10,404",91%,0,8
133,"May 11, 2014","$915,544",72%,"10,217",89%,0,8
134,"May 4, 2014","$924,624",73%,"10,186",89%,0,8
135,"Apr 27, 2014","$1,253,017",98%,"11,517",101%,0,8
136,"Apr 20, 2014","$1,577,093",124%,"11,542",101%,0,8
137,"Apr 13, 2014","$1,174,694",92%,"11,368",99%,0,8
138,"Apr 6, 2014","$1,096,734",86%,"11,243",98%,0,8
139,"Mar 30, 2014","$1,212,014",95%,"11,524",101%,0,8
140,"Mar 23, 2014","$1,163,417",91%,"11,519",101%,0,8
141,"Mar 16, 2014","$1,105,243",87%,"11,451",100%,0,8
142,"Mar 9, 2014","$991,341",78%,"10,566",92%,0,8
143,"Mar 2, 2014","$953,741",75%,"10,908",95%,0,8
