,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$2,047,065",96%,"13,651",99%,0,8
1,"Nov 20, 2016","$1,356,518",88%,"13,336",97%,0,8
2,"Nov 13, 2016","$1,425,618",91%,"13,539",98%,0,8
3,"Nov 6, 2016","$1,290,024",82%,"13,013",94%,0,8
4,"Oct 30, 2016","$1,286,000",93%,"13,128",95%,0,8
5,"Oct 23, 2016","$1,469,578",94%,"13,443",97%,0,8
6,"Oct 16, 2016","$1,476,542",93%,"13,417",97%,0,8
7,"Oct 9, 2016","$1,535,611",91%,"13,580",98%,0,8
8,"Oct 2, 2016","$1,310,768",89%,"13,440",97%,0,8
9,"Sep 25, 2016","$1,272,615",87%,"13,212",96%,0,8
10,"Sep 18, 2016","$1,375,121",91%,"13,348",97%,0,8
11,"Sep 11, 2016","$1,254,386",85%,"12,717",92%,0,8
12,"Sep 4, 2016","$1,449,373",91%,"13,610",99%,0,8
13,"Aug 28, 2016","$1,474,318",90%,"13,331",96%,0,8
14,"Aug 21, 2016","$1,561,265",89%,"13,432",97%,0,8
15,"Aug 14, 2016","$1,663,119",90%,"13,288",96%,0,8
16,"Aug 7, 2016","$1,790,487",82%,"14,473",93%,0,9
17,"Jul 31, 2016","$1,711,547",88%,"13,568",98%,0,8
18,"Jul 24, 2016","$1,737,722",91%,"13,531",98%,0,8
19,"Jul 17, 2016","$1,683,488",88%,"13,442",97%,0,8
20,"Jul 10, 2016","$1,591,362",84%,"13,115",95%,0,8
21,"Jul 3, 2016","$1,564,928",89%,"13,683",99%,0,8
22,"Jun 26, 2016","$1,671,568",96%,"13,791",100%,0,8
23,"Jun 19, 2016","$1,586,333",95%,"13,677",99%,0,8
24,"Jun 12, 2016","$1,581,642",95%,"13,642",99%,0,8
25,"Jun 5, 2016","$1,506,481",92%,"13,641",99%,0,8
26,"May 29, 2016","$1,524,878",99%,"13,779",100%,0,8
27,"May 22, 2016","$1,474,530",91%,"13,715",99%,0,8
28,"May 15, 2016","$1,377,960",85%,"13,238",96%,0,8
29,"May 8, 2016","$1,397,674",88%,"13,549",98%,0,8
30,"May 1, 2016","$1,494,979",94%,"13,775",100%,0,8
31,"Apr 24, 2016","$1,433,167",88%,"13,590",98%,0,8
32,"Apr 17, 2016","$1,451,714",89%,"13,436",97%,0,8
33,"Apr 10, 2016","$1,494,139",92%,"13,507",98%,0,8
34,"Apr 3, 2016","$1,850,963",96%,"13,760",100%,0,8
35,"Mar 27, 2016","$2,127,857",98%,"15,519",100%,0,9
36,"Mar 20, 2016","$1,570,189",99%,"13,808",100%,0,8
37,"Mar 13, 2016","$1,325,184",92%,"13,639",99%,0,8
38,"Mar 6, 2016","$1,079,248",82%,"12,778",92%,0,8
39,"Feb 28, 2016","$1,151,986",85%,"13,150",95%,0,8
40,"Feb 21, 2016","$1,486,893",93%,"13,793",100%,0,8
41,"Feb 14, 2016","$1,493,306",94%,"13,811",100%,0,8
42,"Feb 7, 2016","$1,225,573",88%,"13,074",95%,0,8
43,"Jan 31, 2016","$1,234,997",89%,"13,023",94%,0,8
44,"Jan 24, 2016","$831,498",80%,"9,253",89%,0,6
45,"Jan 17, 2016","$1,360,505",90%,"13,633",99%,0,8
46,"Jan 10, 2016","$1,370,548",98%,"13,710",99%,0,8
