,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$761,920",49%,"7,914",61%,0,8
1,"Nov 20, 2016","$818,015",53%,"8,657",67%,0,8
2,"Nov 13, 2016","$876,636",56%,"9,316",72%,0,8
3,"Nov 6, 2016","$714,753",46%,"7,561",58%,0,8
4,"Oct 30, 2016","$705,544",45%,"7,627",59%,0,8
5,"Oct 23, 2016","$881,156",57%,"10,028",77%,0,8
6,"Oct 16, 2016","$815,137",53%,"8,840",68%,0,8
7,"Oct 9, 2016","$762,243",49%,"8,053",62%,0,8
8,"Oct 2, 2016","$716,690",46%,"7,423",57%,0,8
9,"Sep 25, 2016","$788,492",51%,"8,074",62%,0,8
10,"Sep 18, 2016","$925,136",60%,"9,881",76%,0,8
11,"Sep 11, 2016","$763,016",49%,"8,201",63%,0,8
12,"Sep 4, 2016","$715,842",46%,"7,483",58%,0,8
13,"Aug 28, 2016","$686,375",44%,"7,531",58%,0,8
14,"Aug 21, 2016","$650,161",42%,"7,015",54%,0,8
15,"Aug 14, 2016","$703,403",45%,"7,585",58%,0,8
16,"Aug 7, 2016","$656,563",42%,"7,304",56%,0,8
17,"Jul 31, 2016","$702,076",45%,"7,520",58%,0,8
18,"Jul 24, 2016","$761,232",49%,"8,262",64%,0,8
19,"Jul 17, 2016","$793,370",51%,"8,907",68%,0,8
20,"Jul 10, 2016","$675,318",44%,"6,867",53%,0,8
21,"Jul 3, 2016","$759,324",49%,"7,580",58%,0,8
22,"Jun 26, 2016","$836,484",54%,"8,224",63%,0,8
23,"Jun 19, 2016","$840,804",54%,"8,222",63%,0,8
24,"Jun 12, 2016","$859,596",55%,"8,909",68%,0,8
25,"Jun 5, 2016","$787,779",51%,"7,809",60%,0,8
26,"May 29, 2016","$876,630",56%,"8,663",67%,0,8
27,"May 22, 2016","$1,004,367",65%,"10,041",77%,0,8
28,"May 15, 2016","$1,016,014",65%,"9,691",75%,0,8
29,"May 8, 2016","$959,447",62%,"9,619",74%,0,8
30,"May 1, 2016","$969,147",62%,"9,391",72%,0,8
31,"Apr 24, 2016","$831,705",54%,"8,332",64%,0,8
32,"Apr 17, 2016","$883,616",57%,"8,573",66%,0,8
33,"Apr 10, 2016","$864,813",56%,"8,577",66%,0,8
34,"Apr 3, 2016","$1,066,514",69%,"10,180",78%,0,8
35,"Mar 27, 2016","$992,096",64%,"9,607",74%,0,8
36,"Mar 20, 2016","$934,149",60%,"8,907",68%,0,8
37,"Mar 13, 2016","$973,702",63%,"9,308",72%,0,8
38,"Mar 6, 2016","$882,991",57%,"9,059",70%,0,8
39,"Feb 28, 2016","$829,058",53%,"8,494",65%,0,8
40,"Feb 21, 2016","$1,032,021",66%,"10,002",77%,0,8
41,"Feb 14, 2016","$1,098,756",71%,"10,392",80%,0,8
42,"Feb 7, 2016","$1,058,989",68%,"10,594",81%,0,8
43,"Jan 31, 2016","$1,082,485",70%,"10,510",81%,0,8
44,"Jan 24, 2016","$732,366",63%,"7,322",75%,0,6
45,"Jan 17, 2016","$1,146,372",74%,"10,442",80%,0,8
46,"Jan 10, 2016","$1,121,842",72%,"9,808",75%,0,8
47,"Jan 3, 2016","$1,495,724",96%,"12,538",96%,0,8
48,"Dec 27, 2015","$1,239,109",80%,"10,518",81%,0,8
49,"Dec 20, 2015","$1,225,820",79%,"11,089",85%,0,8
50,"Dec 13, 2015","$1,331,812",86%,"11,752",90%,0,8
51,"Dec 6, 2015","$1,283,093",83%,"11,445",88%,0,8
52,"Nov 29, 2015","$1,261,413",81%,"11,035",85%,0,8
53,"Nov 22, 2015","$1,317,026",85%,"12,287",94%,0,8
54,"Nov 15, 2015","$1,279,611",82%,"12,740",97%,0,8
55,"Nov 8, 2015","$1,070,197",69%,"12,609",96%,4,4
56,"Nov 1, 2015","$946,680",61%,"11,054",84%,8,0
57,"Oct 25, 2015","$1,096,202",63%,"11,825",90%,8,0
58,"Oct 18, 2015","$903,937",60%,"10,047",88%,7,0
59,"Oct 11, 2015","$970,013",64%,"10,048",88%,7,0
