,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$881,609",79%,"7,236",88%,0,8
1,"Nov 20, 2016","$919,740",82%,"7,750",94%,0,8
2,"Nov 13, 2016","$964,240",86%,"7,930",97%,0,8
3,"Nov 6, 2016","$852,256",76%,"7,535",92%,0,8
4,"Oct 30, 2016","$871,840",78%,"7,822",95%,0,8
5,"Oct 23, 2016","$1,009,282",90%,"8,213",100%,0,8
6,"Oct 16, 2016","$1,025,849",92%,"8,261",101%,0,8
7,"Oct 9, 2016","$990,138",89%,"8,212",100%,0,8
8,"Oct 2, 2016","$942,252",84%,"8,085",99%,0,8
9,"Sep 25, 2016","$940,488",84%,"8,129",99%,0,8
10,"Sep 18, 2016","$961,845",96%,"8,246",100%,0,8
11,"Sep 11, 2016","$901,959",90%,"8,184",100%,0,8
12,"Sep 4, 2016","$876,530",87%,"7,851",96%,0,8
13,"Aug 28, 2016","$749,762",74%,"7,229",88%,0,8
14,"Aug 21, 2016","$708,079",70%,"6,715",82%,0,8
15,"Aug 14, 2016","$728,242",72%,"6,829",83%,0,8
16,"Aug 7, 2016","$723,952",72%,"6,848",83%,0,8
17,"Jul 31, 2016","$743,194",74%,"6,920",84%,0,8
18,"Jul 24, 2016","$736,452",73%,"6,757",82%,0,8
19,"Jul 17, 2016","$751,258",75%,"6,771",82%,0,8
20,"Jul 10, 2016","$709,083",60%,"6,593",80%,0,8
21,"Jul 3, 2016","$805,532",69%,"7,484",91%,0,8
22,"Jun 26, 2016","$922,959",79%,"7,868",96%,0,8
23,"Jun 19, 2016","$873,760",74%,"7,612",93%,0,8
24,"Jun 12, 2016","$889,393",76%,"7,485",91%,0,8
25,"Jun 5, 2016","$847,560",72%,"7,338",89%,0,8
26,"May 29, 2016","$889,409",76%,"7,851",96%,0,8
27,"May 22, 2016","$1,003,594",85%,"8,139",99%,0,8
28,"May 15, 2016","$939,456",80%,"7,725",94%,0,8
29,"May 8, 2016","$926,725",79%,"7,405",90%,0,8
30,"May 1, 2016","$996,237",85%,"7,935",97%,0,8
31,"Apr 24, 2016","$904,296",77%,"7,507",91%,0,8
32,"Apr 17, 2016","$927,363",79%,"7,642",93%,0,8
33,"Apr 10, 2016","$882,474",75%,"7,203",88%,0,8
34,"Apr 3, 2016","$920,856",78%,"7,585",92%,0,8
35,"Mar 27, 2016","$872,074",74%,"7,628",93%,0,8
36,"Mar 20, 2016","$888,029",76%,"7,581",92%,0,8
37,"Mar 13, 2016","$918,575",78%,"7,888",96%,0,8
38,"Mar 6, 2016","$822,324",70%,"7,178",87%,0,8
39,"Feb 28, 2016","$793,832",68%,"6,763",82%,0,8
40,"Feb 21, 2016","$936,997",80%,"7,838",95%,0,8
41,"Feb 14, 2016","$920,024",78%,"7,258",88%,0,8
42,"Feb 7, 2016","$810,526",69%,"7,178",87%,0,8
43,"Jan 31, 2016","$905,361",77%,"7,759",95%,0,8
44,"Jan 24, 2016","$596,405",67%,"5,536",90%,0,6
45,"Jan 17, 2016","$994,176",82%,"7,856",96%,0,8
46,"Jan 10, 2016","$886,369",73%,"7,078",86%,0,8
47,"Jan 3, 2016","$1,042,635",86%,"7,857",96%,0,8
48,"Dec 27, 2015","$975,638",80%,"7,235",88%,0,8
49,"Dec 20, 2015","$939,619",77%,"7,131",87%,0,8
50,"Dec 13, 2015","$1,137,047",93%,"8,030",98%,0,8
51,"Dec 6, 2015","$1,054,459",87%,"7,584",92%,0,8
52,"Nov 29, 2015","$970,795",79%,"7,188",88%,0,8
53,"Nov 22, 2015","$949,972",77%,"7,333",89%,0,8
54,"Nov 15, 2015","$1,059,126",86%,"8,076",98%,0,8
55,"Nov 8, 2015","$1,016,469",82%,"7,904",96%,0,8
56,"Nov 1, 2015","$872,132",71%,"7,725",94%,0,8
57,"Oct 25, 2015","$1,075,201",87%,"8,124",99%,0,8
58,"Oct 18, 2015","$1,063,244",86%,"8,115",99%,0,8
59,"Oct 11, 2015","$1,124,410",91%,"8,131",99%,0,8
60,"Oct 4, 2015","$1,047,532",85%,"8,052",98%,0,8
61,"Sep 27, 2015","$1,042,972",84%,"8,208",100%,0,8
62,"Sep 20, 2015","$1,022,113",84%,"8,247",100%,0,8
63,"Sep 13, 2015","$1,002,586",81%,"8,162",99%,0,8
64,"Sep 6, 2015","$1,031,198",80%,"8,182",100%,0,8
65,"Aug 30, 2015","$901,998",70%,"7,565",92%,0,8
66,"Aug 23, 2015","$886,955",69%,"7,347",90%,0,8
67,"Aug 16, 2015","$945,696",74%,"7,764",95%,0,8
68,"Aug 9, 2015","$956,186",74%,"7,774",95%,0,8
69,"Aug 2, 2015","$946,124",74%,"7,653",93%,0,8
70,"Jul 26, 2015","$986,399",77%,"7,769",95%,0,8
71,"Jul 19, 2015","$1,023,705",80%,"7,835",95%,0,8
72,"Jul 12, 2015","$918,122",71%,"7,337",89%,0,8
73,"Jul 5, 2015","$860,890",67%,"7,378",90%,0,8
74,"Jun 28, 2015","$1,054,036",82%,"8,005",98%,0,8
75,"Jun 21, 2015","$993,120",77%,"7,734",94%,0,8
76,"Jun 14, 2015","$993,724",77%,"7,607",93%,0,8
77,"Jun 7, 2015","$964,024",75%,"7,357",90%,0,8
78,"May 31, 2015","$909,618",71%,"6,997",85%,0,8
79,"May 24, 2015","$1,145,564",89%,"8,210",100%,0,8
80,"May 17, 2015","$1,124,463",88%,"7,979",97%,0,8
81,"May 10, 2015","$1,075,887",84%,"7,503",91%,0,8
82,"May 3, 2015","$1,033,010",80%,"7,421",90%,0,8
83,"Apr 26, 2015","$1,049,011",82%,"7,536",92%,0,8
