,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$2,496,332",107%,"13,503",100%,0,8
1,"Nov 20, 2016","$1,812,204",98%,"13,331",98%,0,8
2,"Nov 13, 2016","$1,838,816",105%,"13,534",100%,0,8
3,"Nov 6, 2016","$1,834,961",98%,"13,176",97%,0,8
4,"Oct 30, 2016","$1,837,613",105%,"13,345",98%,0,8
5,"Oct 23, 2016","$1,971,896",105%,"13,486",99%,0,8
6,"Oct 16, 2016","$1,962,745",100%,"13,514",100%,0,8
7,"Oct 9, 2016","$2,055,928",103%,"13,476",99%,0,8
8,"Oct 2, 2016","$1,862,033",99%,"13,258",98%,0,8
9,"Sep 25, 2016","$1,789,056",97%,"13,356",98%,0,8
10,"Sep 18, 2016","$1,849,066",99%,"13,155",97%,0,8
11,"Sep 11, 2016","$1,713,029",91%,"12,875",95%,0,8
12,"Sep 4, 2016","$1,867,689",100%,"13,323",98%,0,8
13,"Aug 28, 2016","$1,933,277",106%,"13,454",99%,0,8
14,"Aug 21, 2016","$2,048,009",103%,"13,453",99%,0,8
15,"Aug 14, 2016","$2,233,894",97%,"13,485",99%,0,8
16,"Aug 7, 2016","$2,292,428",97%,"13,558",100%,0,8
17,"Jul 31, 2016","$2,554,453",97%,"15,164",99%,0,9
18,"Jul 24, 2016","$2,310,911",97%,"13,453",99%,0,8
19,"Jul 17, 2016","$2,513,984",95%,"14,981",98%,0,9
20,"Jul 10, 2016","$2,255,572",95%,"13,185",97%,0,8
21,"Jul 3, 2016","$2,164,298",101%,"13,573",100%,0,8
22,"Jun 26, 2016","$2,113,062",100%,"13,570",100%,0,8
23,"Jun 19, 2016","$2,106,410",100%,"13,571",100%,0,8
24,"Jun 12, 2016","$2,071,899",101%,"13,572",100%,0,8
25,"Jun 5, 2016","$2,059,644",99%,"13,544",100%,0,8
26,"May 29, 2016","$2,072,450",100%,"13,552",100%,0,8
27,"May 22, 2016","$2,056,550",98%,"13,560",100%,0,8
28,"May 15, 2016","$1,651,070",92%,"11,384",96%,0,7
29,"May 8, 2016","$2,007,738",99%,"13,489",99%,0,8
30,"May 1, 2016","$1,950,539",99%,"13,567",100%,0,8
31,"Apr 24, 2016","$1,995,760",96%,"13,477",99%,0,8
32,"Apr 17, 2016","$1,939,509",97%,"13,402",99%,0,8
33,"Apr 10, 2016","$1,996,041",99%,"13,452",99%,0,8
34,"Apr 3, 2016","$2,289,548",99%,"13,566",100%,0,8
35,"Mar 27, 2016","$2,629,844",99%,"15,236",100%,0,9
36,"Mar 20, 2016","$2,044,101",97%,"13,554",100%,0,8
37,"Mar 13, 2016","$1,708,789",90%,"13,413",99%,0,8
38,"Mar 6, 2016","$1,461,331",86%,"13,289",98%,0,8
39,"Feb 28, 2016","$1,469,120",91%,"13,536",100%,0,8
40,"Feb 21, 2016","$1,851,720",96%,"13,518",100%,0,8
41,"Feb 14, 2016","$1,717,043",95%,"13,557",100%,0,8
42,"Feb 7, 2016","$1,533,403",95%,"13,198",97%,0,8
43,"Jan 31, 2016","$1,513,498",89%,"12,979",96%,0,8
44,"Jan 24, 2016","$1,063,040",80%,"8,750",86%,0,6
45,"Jan 17, 2016","$1,660,171",83%,"13,310",98%,0,8
46,"Jan 10, 2016","$1,812,024",98%,"13,491",99%,0,8
47,"Jan 3, 2016","$2,878,505",106%,"15,198",100%,0,9
48,"Dec 27, 2015","$2,588,075",107%,"13,570",100%,0,8
49,"Dec 20, 2015","$2,152,296",98%,"13,172",97%,0,8
50,"Dec 13, 2015","$2,008,986",99%,"13,390",99%,0,8
51,"Dec 6, 2015","$1,983,820",95%,"13,139",97%,0,8
