,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$2,286,976",128%,"14,234",98%,0,8
1,"Nov 20, 2016","$1,481,062",83%,"12,588",87%,0,8
2,"Nov 13, 2016","$1,752,417",98%,"14,427",100%,0,8
3,"Nov 6, 2016","$1,435,835",81%,"12,497",86%,0,8
4,"Oct 30, 2016","$1,456,974",82%,"13,182",91%,0,8
5,"Oct 23, 2016","$1,682,068",95%,"14,325",99%,0,8
6,"Oct 16, 2016","$1,653,148",93%,"14,039",97%,0,8
7,"Oct 9, 2016","$1,719,802",97%,"13,829",96%,0,8
8,"Oct 2, 2016","$1,368,350",77%,"12,209",84%,0,8
9,"Sep 25, 2016","$1,285,548",72%,"11,739",81%,0,8
10,"Sep 18, 2016","$1,500,094",84%,"15,341",100%,0,8
11,"Sep 11, 2016","$1,393,168",78%,"14,814",99%,0,8
12,"Sep 4, 2016","$1,408,374",79%,"12,120",84%,0,8
13,"Aug 28, 2016","$1,458,862",82%,"11,960",83%,0,8
14,"Aug 21, 2016","$1,575,605",89%,"12,627",87%,0,8
15,"Aug 14, 2016","$1,779,664",100%,"13,804",95%,0,8
16,"Aug 7, 2016","$1,927,412",96%,"15,295",94%,0,9
17,"Jul 31, 2016","$1,899,742",107%,"14,484",97%,0,8
18,"Jul 24, 2016","$1,896,987",107%,"14,589",98%,0,8
19,"Jul 17, 2016","$1,780,497",100%,"13,969",97%,0,8
20,"Jul 10, 2016","$1,758,107",99%,"13,259",92%,0,8
21,"Jul 3, 2016","$1,863,121",105%,"13,874",96%,0,8
22,"Jun 26, 2016","$1,969,159",111%,"14,629",98%,0,8
23,"Jun 19, 2016","$1,818,372",102%,"14,014",97%,0,8
24,"Jun 12, 2016","$1,859,038",104%,"14,510",97%,0,8
25,"Jun 5, 2016","$1,684,817",95%,"13,270",92%,0,8
26,"May 29, 2016","$1,744,424",98%,"13,700",95%,0,8
27,"May 22, 2016","$1,673,967",94%,"14,208",98%,0,8
28,"May 15, 2016","$1,478,453",83%,"13,157",91%,0,8
29,"May 8, 2016","$1,474,349",83%,"12,691",88%,0,8
30,"May 1, 2016","$1,625,910",91%,"13,753",95%,0,8
31,"Apr 24, 2016","$1,660,014",93%,"13,810",96%,0,8
32,"Apr 17, 2016","$1,612,361",91%,"13,637",94%,0,8
33,"Apr 10, 2016","$1,676,579",94%,"14,143",98%,0,8
34,"Apr 3, 2016","$2,215,826",124%,"15,018",97%,0,8
35,"Mar 27, 2016","$2,532,613",126%,"16,940",98%,0,9
36,"Mar 20, 2016","$1,934,807",109%,"15,226",99%,0,8
37,"Mar 13, 2016","$1,662,470",93%,"14,103",98%,0,8
38,"Mar 6, 2016","$1,337,007",75%,"12,268",85%,0,8
39,"Feb 28, 2016","$1,295,960",73%,"12,055",83%,0,8
40,"Feb 21, 2016","$1,747,324",98%,"14,838",99%,0,8
41,"Feb 14, 2016","$1,695,453",95%,"14,060",97%,0,8
42,"Feb 7, 2016","$1,429,696",80%,"14,557",97%,0,8
43,"Jan 31, 2016","$1,469,622",83%,"14,440",100%,0,8
44,"Jan 24, 2016","$983,150",74%,"10,375",96%,0,6
45,"Jan 17, 2016","$1,590,318",89%,"13,432",93%,0,8
46,"Jan 10, 2016","$1,552,322",87%,"13,123",91%,0,8
47,"Jan 3, 2016","$2,940,096",147%,"17,119",99%,0,9
48,"Dec 27, 2015","$2,400,920",135%,"14,798",99%,0,8
49,"Dec 20, 2015","$1,903,218",107%,"14,197",98%,0,8
50,"Dec 13, 2015","$1,732,290",97%,"13,927",96%,0,8
51,"Dec 6, 2015","$1,683,339",95%,"13,544",94%,0,8
52,"Nov 29, 2015","$2,290,873",114%,"15,099",93%,0,9
53,"Nov 22, 2015","$1,508,157",85%,"12,931",89%,0,8
54,"Nov 15, 2015","$1,646,787",93%,"14,312",99%,0,8
55,"Nov 8, 2015","$1,583,873",89%,"13,540",94%,0,8
56,"Nov 1, 2015","$1,346,650",76%,"12,327",85%,0,8
57,"Oct 25, 2015","$1,621,057",91%,"13,860",96%,0,8
58,"Oct 18, 2015","$1,720,707",97%,"14,626",96%,0,8
59,"Oct 11, 2015","$1,765,268",99%,"14,280",99%,0,8
60,"Oct 4, 2015","$1,454,570",82%,"12,969",90%,0,8
61,"Sep 27, 2015","$1,426,156",80%,"13,083",91%,0,8
62,"Sep 20, 2015","$1,570,535",88%,"15,248",99%,0,8
63,"Sep 13, 2015","$1,472,236",83%,"14,570",95%,0,8
64,"Sep 6, 2015","$1,560,536",88%,"12,920",89%,0,8
65,"Aug 30, 2015","$1,492,152",84%,"12,334",85%,0,8
66,"Aug 23, 2015","$1,751,974",98%,"13,912",93%,0,8
67,"Aug 16, 2015","$1,913,037",107%,"14,845",97%,0,8
68,"Aug 9, 2015","$1,980,056",111%,"15,071",98%,0,8
69,"Aug 2, 2015","$2,118,401",106%,"16,175",94%,0,9
70,"Jul 26, 2015","$2,002,632",113%,"15,201",99%,0,8
71,"Jul 19, 2015","$2,167,815",105%,"16,815",98%,0,9
72,"Jul 12, 2015","$1,900,091",107%,"14,729",96%,0,8
73,"Jul 5, 2015","$1,864,235",105%,"14,732",96%,0,8
74,"Jun 28, 2015","$2,047,143",115%,"15,175",98%,0,8
75,"Jun 21, 2015","$1,947,674",105%,"15,331",100%,0,8
76,"Jun 14, 2015","$1,954,144",105%,"15,332",100%,0,8
77,"Jun 7, 2015","$1,737,141",98%,"14,228",98%,0,8
78,"May 31, 2015","$1,670,922",94%,"13,830",96%,0,8
79,"May 24, 2015","$1,776,153",96%,"15,155",98%,0,8
80,"May 17, 2015","$1,601,725",90%,"13,959",97%,0,8
81,"May 10, 2015","$1,469,322",83%,"13,067",90%,0,8
82,"May 3, 2015","$1,387,456",78%,"12,512",87%,0,8
83,"Apr 26, 2015","$1,741,459",95%,"14,847",96%,0,8
84,"Apr 19, 2015","$1,655,749",90%,"14,065",93%,0,8
85,"Apr 12, 2015","$2,181,861",98%,"14,678",96%,0,8
86,"Apr 5, 2015","$2,358,372",94%,"15,857",91%,0,9
87,"Mar 29, 2015","$1,872,149",111%,"14,604",95%,0,8
88,"Mar 22, 2015","$1,855,247",110%,"15,214",99%,0,8
89,"Mar 15, 2015","$1,818,766",108%,"15,024",98%,0,8
90,"Mar 8, 2015","$1,352,213",80%,"12,457",86%,0,8
91,"Mar 1, 2015","$1,204,467",72%,"11,905",82%,0,8
92,"Feb 22, 2015","$1,646,631",98%,"14,771",97%,0,8
93,"Feb 15, 2015","$1,586,692",94%,"12,583",87%,0,8
94,"Feb 8, 2015","$1,262,017",75%,"12,266",85%,0,8
95,"Feb 1, 2015","$1,291,035",77%,"12,829",89%,0,8
96,"Jan 25, 2015","$1,500,725",89%,"14,236",98%,0,8
97,"Jan 18, 2015","$1,684,664",100%,"14,310",99%,0,8
98,"Jan 11, 2015","$1,593,224",95%,"13,591",94%,0,8
99,"Jan 4, 2015","$2,740,642",163%,"15,403",100%,0,8
100,"Dec 28, 2014","$2,903,309",154%,"16,257",100%,0,9
101,"Dec 21, 2014","$1,986,719",118%,"14,284",99%,0,8
102,"Dec 14, 2014","$1,746,037",104%,"13,554",94%,0,8
103,"Dec 7, 2014","$1,814,918",108%,"13,954",96%,0,8
104,"Nov 30, 2014","$2,432,132",129%,"15,714",97%,0,9
105,"Nov 23, 2014","$1,452,509",86%,"12,670",88%,0,8
106,"Nov 16, 2014","$1,361,772",81%,"12,283",85%,0,8
107,"Nov 9, 2014","$1,621,169",96%,"13,524",93%,0,8
108,"Nov 2, 2014","$1,329,813",79%,"12,097",84%,0,8
109,"Oct 26, 2014","$1,489,079",89%,"13,258",92%,0,8
110,"Oct 19, 2014","$1,680,849",100%,"14,440",100%,0,8
111,"Oct 12, 2014","$1,806,175",107%,"14,715",96%,0,8
112,"Oct 5, 2014","$1,406,222",84%,"13,235",91%,0,8
113,"Sep 28, 2014","$1,386,090",82%,"12,923",89%,0,8
114,"Sep 21, 2014","$1,356,354",81%,"12,694",88%,0,8
115,"Sep 14, 2014","$1,462,840",87%,"14,352",99%,0,8
116,"Sep 7, 2014","$1,340,668",80%,"13,507",93%,0,8
117,"Aug 31, 2014","$1,708,228",102%,"13,727",95%,0,8
118,"Aug 24, 2014","$1,795,268",107%,"14,077",97%,0,8
119,"Aug 17, 2014","$2,026,702",107%,"15,771",94%,0,9
120,"Aug 10, 2014","$2,059,477",123%,"15,400",100%,0,8
121,"Aug 3, 2014","$2,181,109",115%,"16,746",97%,0,9
122,"Jul 27, 2014","$2,012,891",120%,"15,423",100%,0,8
123,"Jul 20, 2014","$1,966,367",117%,"15,375",100%,0,8
124,"Jul 13, 2014","$1,936,778",115%,"15,014",97%,0,8
125,"Jul 6, 2014","$1,988,092",118%,"15,387",100%,0,8
126,"Jun 29, 2014","$2,107,598",125%,"15,354",100%,0,8
127,"Jun 22, 2014","$2,027,347",121%,"15,424",100%,0,8
128,"Jun 15, 2014","$1,969,827",117%,"15,271",99%,0,8
129,"Jun 8, 2014","$1,924,272",114%,"15,195",99%,0,8
130,"Jun 1, 2014","$1,804,729",107%,"14,670",97%,0,8
131,"May 25, 2014","$1,881,975",112%,"15,316",99%,0,8
132,"May 18, 2014","$1,755,218",104%,"15,036",97%,0,8
133,"May 11, 2014","$1,736,317",103%,"14,711",97%,0,8
134,"May 4, 2014","$1,732,110",103%,"14,910",97%,0,8
135,"Apr 27, 2014","$2,074,749",123%,"14,320",99%,0,8
136,"Apr 20, 2014","$2,769,554",146%,"17,352",100%,0,9
137,"Apr 13, 2014","$1,930,362",115%,"15,275",99%,0,8
138,"Apr 6, 2014","$1,806,067",107%,"14,901",98%,0,8
139,"Mar 30, 2014","$1,946,536",116%,"15,423",100%,0,8
140,"Mar 23, 2014","$1,874,352",111%,"15,318",99%,0,8
141,"Mar 16, 2014","$1,861,649",111%,"14,686",97%,0,8
142,"Mar 9, 2014","$1,667,093",99%,"14,782",97%,0,8
143,"Mar 2, 2014","$1,539,830",92%,"15,237",99%,0,8
144,"Feb 23, 2014","$1,765,925",105%,"15,141",100%,0,8
145,"Feb 16, 2014","$1,803,846",107%,"13,810",95%,0,8
146,"Feb 9, 2014","$1,493,721",89%,"13,992",97%,0,8
147,"Feb 2, 2014","$1,403,247",83%,"13,810",95%,0,8
148,"Jan 26, 2014","$1,598,920",95%,"15,044",98%,0,8
149,"Jan 19, 2014","$1,749,967",104%,"14,273",99%,0,8
150,"Jan 12, 2014","$1,679,996",100%,"14,561",97%,0,8
151,"Jan 5, 2014","$2,454,630",123%,"15,424",100%,0,8
152,"Dec 29, 2013","$3,201,333",121%,"17,352",100%,0,9
153,"Dec 22, 2013","$2,153,098",128%,"14,486",97%,0,8
154,"Dec 15, 2013","$1,971,945",117%,"15,008",99%,0,8
155,"Dec 8, 2013","$2,036,322",121%,"15,261",100%,0,8
156,"Dec 1, 2013","$2,625,327",139%,"16,678",98%,0,9
157,"Nov 24, 2013","$1,632,849",97%,"13,449",93%,0,8
158,"Nov 17, 2013","$1,587,882",94%,"13,681",95%,0,8
159,"Nov 10, 2013","$1,864,819",111%,"15,175",100%,0,8
160,"Nov 3, 2013","$1,736,957",103%,"14,472",100%,0,8
161,"Oct 27, 2013","$1,693,555",101%,"14,318",99%,0,8
162,"Oct 20, 2013","$1,719,816",102%,"14,256",99%,0,8
163,"Oct 13, 2013","$1,874,654",112%,"14,430",100%,0,8
164,"Oct 6, 2013","$1,543,608",92%,"13,328",92%,0,8
165,"Sep 29, 2013","$1,467,774",87%,"12,923",89%,0,8
166,"Sep 22, 2013","$1,471,059",88%,"12,987",90%,0,8
167,"Sep 15, 2013","$1,452,909",86%,"13,995",97%,0,8
168,"Sep 8, 2013","$1,373,885",82%,"13,339",92%,0,8
169,"Sep 1, 2013","$1,692,789",101%,"13,169",91%,0,8
170,"Aug 25, 2013","$1,708,781",102%,"13,223",91%,0,8
171,"Aug 18, 2013","$1,871,050",111%,"13,880",96%,0,8
172,"Aug 11, 2013","$2,053,281",109%,"15,614",96%,0,9
173,"Aug 4, 2013","$1,880,559",112%,"13,958",96%,0,8
174,"Jul 28, 2013","$2,088,425",110%,"15,664",96%,0,9
175,"Jul 21, 2013","$1,907,228",113%,"14,009",97%,0,8
176,"Jul 14, 2013","$1,986,489",105%,"15,005",92%,0,9
177,"Jul 7, 2013","$1,893,488",113%,"14,090",97%,0,8
178,"Jun 30, 2013","$1,985,154",118%,"13,934",96%,0,8
179,"Jun 23, 2013","$2,041,391",108%,"15,093",93%,0,9
180,"Jun 16, 2013","$1,849,045",110%,"13,338",92%,0,8
181,"Jun 9, 2013","$1,770,507",105%,"13,035",90%,0,8
182,"Jun 2, 2013","$1,776,282",106%,"13,947",96%,0,8
183,"May 26, 2013","$1,858,318",111%,"14,430",100%,0,8
184,"May 19, 2013","$1,748,141",104%,"13,881",96%,0,8
185,"May 12, 2013","$1,697,007",101%,"13,967",97%,0,8
186,"May 5, 2013","$1,651,541",98%,"13,589",94%,0,8
187,"Apr 28, 2013","$1,735,066",103%,"14,083",97%,0,8
188,"Apr 21, 2013","$1,810,911",108%,"14,375",99%,0,8
189,"Apr 14, 2013","$1,749,291",104%,"14,090",97%,0,8
190,"Apr 7, 2013","$2,257,034",134%,"14,290",99%,0,8
191,"Mar 31, 2013","$2,633,547",139%,"16,281",100%,0,9
192,"Mar 24, 2013","$1,940,002",115%,"14,161",98%,0,8
193,"Mar 17, 2013","$1,950,727",116%,"14,409",100%,0,8
194,"Mar 10, 2013","$1,663,310",99%,"14,330",99%,0,8
195,"Mar 3, 2013","$1,544,023",92%,"14,468",100%,0,8
196,"Feb 24, 2013","$1,657,584",99%,"13,874",96%,0,8
197,"Feb 17, 2013","$1,875,920",112%,"14,116",98%,0,8
198,"Feb 10, 2013","$1,355,055",81%,"13,067",90%,0,8
199,"Feb 3, 2013","$1,419,249",84%,"14,091",97%,0,8
200,"Jan 27, 2013","$1,493,804",89%,"14,184",98%,0,8
201,"Jan 20, 2013","$1,700,024",101%,"13,768",95%,0,8
202,"Jan 13, 2013","$1,519,043",90%,"13,586",94%,0,8
203,"Jan 6, 2013","$2,106,339",125%,"14,420",100%,0,8
204,"Dec 30, 2012","$2,947,172",156%,"16,281",100%,0,9
205,"Dec 23, 2012","$2,100,170",125%,"13,426",93%,0,8
206,"Dec 16, 2012","$1,866,094",111%,"13,452",93%,0,8
207,"Dec 9, 2012","$1,825,121",109%,"13,043",90%,0,8
208,"Dec 2, 2012","$1,696,781",101%,"12,403",86%,0,8
209,"Nov 25, 2012","$2,290,819",136%,"14,051",97%,0,8
210,"Nov 18, 2012","$1,598,476",95%,"13,243",92%,0,8
211,"Nov 11, 2012","$1,506,283",90%,"12,560",87%,0,8
212,"Nov 4, 2012","$1,166,275",79%,"10,149",80%,0,7
213,"Oct 28, 2012","$1,657,271",99%,"14,173",98%,0,8
214,"Oct 21, 2012","$1,717,002",102%,"14,458",100%,0,8
