,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
215,"Oct 14, 2012","$1,691,769",101%,"14,468",100%,0,8
216,"Oct 7, 2012","$1,806,846",107%,"14,463",100%,0,8
217,"Sep 30, 2012","$1,536,124",91%,"13,437",93%,0,8
218,"Sep 23, 2012","$1,495,735",89%,"13,562",94%,0,8
219,"Sep 16, 2012","$1,435,082",85%,"13,449",93%,0,8
220,"Sep 9, 2012","$1,313,195",78%,"12,350",85%,0,8
221,"Sep 2, 2012","$1,700,412",101%,"13,609",94%,0,8
222,"Aug 26, 2012","$1,690,150",101%,"12,774",88%,0,8
223,"Aug 19, 2012","$1,818,537",108%,"13,148",91%,0,8
224,"Aug 12, 2012","$2,147,461",114%,"15,470",95%,0,9
225,"Aug 5, 2012","$2,013,559",120%,"14,030",97%,0,8
226,"Jul 29, 2012","$2,055,433",122%,"14,225",98%,0,8
227,"Jul 22, 2012","$2,145,917",113%,"15,307",94%,0,9
228,"Jul 15, 2012","$1,980,214",118%,"14,088",97%,0,8
229,"Jul 8, 2012","$1,920,563",114%,"13,836",96%,0,8
230,"Jul 1, 2012","$2,033,004",121%,"14,075",97%,0,8
231,"Jun 24, 2012","$2,038,405",121%,"14,091",97%,0,8
232,"Jun 17, 2012","$1,980,203",118%,"14,146",98%,0,8
233,"Jun 10, 2012","$1,990,184",118%,"14,287",99%,0,8
234,"Jun 3, 2012","$1,802,133",107%,"14,258",99%,0,8
235,"May 27, 2012","$1,896,633",113%,"14,436",100%,0,8
236,"May 20, 2012","$1,831,193",109%,"14,264",99%,0,8
237,"May 13, 2012","$1,579,314",94%,"12,679",88%,0,8
238,"May 6, 2012","$1,643,258",98%,"13,368",92%,0,8
239,"Apr 29, 2012","$1,742,571",104%,"13,646",94%,0,8
240,"Apr 22, 2012","$1,800,949",107%,"14,042",97%,0,8
241,"Apr 15, 2012","$2,153,975",128%,"14,472",100%,0,8
242,"Apr 8, 2012","$2,183,025",130%,"14,472",100%,0,8
243,"Apr 1, 2012","$1,841,661",110%,"14,002",97%,0,8
244,"Mar 25, 2012","$1,808,773",108%,"14,068",97%,0,8
245,"Mar 18, 2012","$1,942,288",116%,"14,472",100%,0,8
246,"Mar 11, 2012","$1,662,595",99%,"14,245",98%,0,8
247,"Mar 4, 2012","$1,501,011",89%,"13,683",95%,0,8
248,"Feb 26, 2012","$1,872,679",111%,"14,472",100%,0,8
249,"Feb 19, 2012","$1,903,024",113%,"14,448",100%,0,8
250,"Feb 12, 2012","$1,508,501",90%,"14,109",97%,0,8
251,"Feb 5, 2012","$1,349,433",80%,"13,118",91%,0,8
252,"Jan 29, 2012","$1,503,461",89%,"13,718",95%,0,8
253,"Jan 22, 2012","$1,534,111",91%,"13,944",96%,0,8
254,"Jan 15, 2012","$1,792,976",107%,"14,468",100%,0,8
255,"Jan 8, 2012","$1,850,216",110%,"14,197",98%,0,8
256,"Jan 1, 2012","$2,712,535",143%,"16,281",100%,0,9
257,"Dec 25, 2011","$2,107,015",125%,"14,368",99%,0,8
258,"Dec 18, 2011","$1,762,301",105%,"13,644",94%,0,8
259,"Dec 11, 2011","$1,777,817",106%,"14,170",98%,0,8
260,"Dec 4, 2011","$1,656,955",99%,"13,290",92%,0,8
261,"Nov 27, 2011","$2,205,025",131%,"14,472",100%,0,8
262,"Nov 20, 2011","$1,535,489",91%,"13,316",92%,0,8
263,"Nov 13, 2011","$1,646,583",98%,"13,996",97%,0,8
264,"Nov 6, 2011","$1,535,611",91%,"13,841",96%,0,8
265,"Oct 30, 2011","$1,629,545",97%,"14,327",99%,0,8
266,"Oct 23, 2011","$1,698,824",101%,"14,454",100%,0,8
267,"Oct 16, 2011","$1,675,421",100%,"14,428",100%,0,8
268,"Oct 9, 2011","$1,656,867",99%,"14,149",98%,0,8
269,"Oct 2, 2011","$1,593,748",95%,"14,318",99%,0,8
270,"Sep 25, 2011","$1,561,913",93%,"14,119",98%,0,8
271,"Sep 18, 2011","$1,479,369",88%,"13,861",96%,0,8
272,"Sep 11, 2011","$1,253,990",80%,"12,193",84%,0,8
273,"Sep 4, 2011","$1,602,104",102%,"13,679",95%,0,8
274,"Aug 28, 2011","$1,031,290",109%,"8,485",94%,0,5
275,"Aug 21, 2011","$1,820,989",116%,"14,159",98%,0,8
276,"Aug 14, 2011","$1,886,230",120%,"14,442",100%,0,8
277,"Aug 7, 2011","$1,887,489",120%,"14,472",100%,0,8
278,"Jul 31, 2011","$1,892,399",121%,"14,472",100%,0,8
279,"Jul 24, 2011","$1,882,731",120%,"14,472",100%,0,8
280,"Jul 17, 2011","$1,863,700",119%,"14,459",100%,0,8
281,"Jul 10, 2011","$1,867,819",119%,"14,472",100%,0,8
282,"Jul 3, 2011","$1,835,710",117%,"14,400",100%,0,8
283,"Jun 26, 2011","$1,830,739",117%,"14,472",100%,0,8
284,"Jun 19, 2011","$1,775,427",113%,"14,472",100%,0,8
285,"Jun 12, 2011","$1,752,076",112%,"14,472",100%,0,8
286,"Jun 5, 2011","$1,705,602",109%,"14,472",100%,0,8
287,"May 29, 2011","$1,732,752",111%,"14,472",100%,0,8
288,"May 22, 2011","$1,696,763",108%,"14,472",100%,0,8
289,"May 15, 2011","$1,606,974",103%,"14,206",98%,0,8
290,"May 8, 2011","$1,599,916",102%,"14,277",99%,0,8
291,"May 1, 2011","$1,736,420",111%,"14,472",100%,0,8
292,"Apr 24, 2011","$1,843,855",118%,"14,472",100%,0,8
293,"Apr 17, 2011","$1,663,270",106%,"14,410",100%,0,8
294,"Apr 10, 2011","$1,646,991",105%,"14,454",100%,0,8
295,"Apr 3, 2011","$1,623,653",104%,"14,472",100%,0,8
296,"Mar 27, 2011","$1,627,422",104%,"14,472",100%,0,8
297,"Mar 20, 2011","$1,670,779",107%,"14,472",100%,0,8
298,"Mar 13, 2011","$1,545,232",99%,"14,472",100%,0,8
299,"Mar 6, 2011","$1,388,574",89%,"14,202",98%,0,8
300,"Feb 27, 2011","$1,660,095",106%,"14,472",100%,0,8
301,"Feb 20, 2011","$1,526,036",97%,"14,100",97%,0,8
302,"Feb 13, 2011","$1,436,121",92%,"14,024",97%,0,8
303,"Feb 6, 2011","$1,214,880",78%,"12,883",89%,0,8
304,"Jan 30, 2011","$1,308,560",84%,"13,332",92%,0,8
305,"Jan 23, 2011","$1,401,082",89%,"13,972",97%,0,8
306,"Jan 16, 2011","$1,540,868",98%,"14,228",98%,0,8
307,"Jan 9, 2011","$1,588,456",101%,"14,472",100%,0,8
308,"Jan 2, 2011","$2,228,235",142%,"14,472",100%,0,8
309,"Dec 26, 2010","$2,153,110",137%,"14,472",100%,0,8
310,"Dec 19, 2010","$1,631,743",104%,"14,174",98%,0,8
311,"Dec 12, 2010","$1,645,313",105%,"14,211",98%,0,8
312,"Dec 5, 2010","$1,566,919",100%,"13,671",94%,0,8
313,"Nov 28, 2010","$2,150,665",137%,"14,472",100%,0,8
314,"Nov 21, 2010","$1,509,711",96%,"13,933",96%,0,8
315,"Nov 14, 2010","$1,567,087",100%,"14,185",98%,0,8
316,"Nov 7, 2010","$1,547,866",99%,"14,237",98%,0,8
317,"Oct 31, 2010","$1,541,013",98%,"14,472",100%,0,8
318,"Oct 24, 2010","$1,573,370",100%,"14,455",100%,0,8
319,"Oct 17, 2010","$1,576,947",101%,"14,472",100%,0,8
320,"Oct 10, 2010","$1,602,698",102%,"14,334",99%,0,8
321,"Oct 3, 2010","$1,507,992",96%,"14,415",100%,0,8
322,"Sep 26, 2010","$1,495,013",95%,"14,447",100%,0,8
323,"Sep 19, 2010","$1,479,055",94%,"14,331",99%,0,8
324,"Sep 12, 2010","$1,400,569",89%,"13,742",95%,0,8
325,"Sep 5, 2010","$1,622,078",104%,"14,472",100%,0,8
326,"Aug 29, 2010","$1,664,108",106%,"14,472",100%,0,8
327,"Aug 22, 2010","$1,688,034",108%,"14,472",100%,0,8
328,"Aug 15, 2010","$1,733,834",111%,"14,472",100%,0,8
329,"Aug 8, 2010","$1,745,925",111%,"14,472",100%,0,8
330,"Aug 1, 2010","$1,720,540",110%,"14,472",100%,0,8
331,"Jul 25, 2010","$1,707,154",109%,"14,472",100%,0,8
332,"Jul 18, 2010","$1,681,570",107%,"14,472",100%,0,8
333,"Jul 11, 2010","$1,650,562",105%,"14,472",100%,0,8
334,"Jul 4, 2010","$1,620,851",103%,"14,472",100%,0,8
335,"Jun 27, 2010","$1,641,718",105%,"14,472",100%,0,8
336,"Jun 20, 2010","$1,620,876",103%,"14,472",100%,0,8
337,"Jun 13, 2010","$1,614,485",103%,"14,472",100%,0,8
338,"Jun 6, 2010","$1,570,925",100%,"14,472",100%,0,8
339,"May 30, 2010","$1,570,390",100%,"14,472",100%,0,8
340,"May 23, 2010","$1,576,010",101%,"14,472",100%,0,8
341,"May 16, 2010","$1,549,754",99%,"14,472",100%,0,8
342,"May 9, 2010","$1,529,199",98%,"14,300",99%,0,8
343,"May 2, 2010","$1,510,925",96%,"14,378",99%,0,8
344,"Apr 25, 2010","$1,565,019",100%,"14,472",100%,0,8
345,"Apr 18, 2010","$1,561,198",100%,"14,452",100%,0,8
346,"Apr 11, 2010","$1,678,013",107%,"14,472",100%,0,8
347,"Apr 4, 2010","$1,686,510",108%,"14,472",100%,0,8
348,"Mar 28, 2010","$1,565,719",100%,"14,472",100%,0,8
349,"Mar 21, 2010","$1,583,765",101%,"14,472",100%,0,8
350,"Mar 14, 2010","$1,505,286",96%,"14,472",100%,0,8
351,"Mar 7, 2010","$1,337,882",85%,"14,215",98%,0,8
352,"Feb 28, 2010","$1,353,808",86%,"14,164",98%,0,8
353,"Feb 21, 2010","$1,602,783",102%,"14,472",100%,0,8
354,"Feb 14, 2010","$1,359,810",87%,"13,620",94%,0,8
355,"Feb 7, 2010","$1,285,902",82%,"13,506",93%,0,8
356,"Jan 31, 2010","$1,337,056",85%,"13,863",96%,0,8
357,"Jan 24, 2010","$1,377,097",88%,"13,872",96%,0,8
358,"Jan 17, 2010","$1,460,131",93%,"13,914",96%,0,8
359,"Jan 10, 2010","$1,539,959",98%,"14,472",100%,0,8
360,"Jan 3, 2010","$2,125,740",136%,"14,472",100%,0,8
361,"Dec 27, 2009","$2,092,745",134%,"14,472",100%,0,8
362,"Dec 20, 2009","$1,604,791",102%,"14,291",99%,0,8
363,"Dec 13, 2009","$1,624,400",104%,"14,391",99%,0,8
364,"Dec 6, 2009","$1,535,600",98%,"13,698",95%,0,8
365,"Nov 29, 2009","$2,086,135",133%,"14,472",100%,0,8
366,"Nov 22, 2009","$1,430,006",91%,"13,343",92%,0,8
367,"Nov 15, 2009","$1,549,328",99%,"14,330",99%,0,8
368,"Nov 8, 2009","$1,511,167",96%,"14,035",97%,0,8
369,"Nov 1, 2009","$1,489,548",95%,"14,302",99%,0,8
370,"Oct 25, 2009","$1,525,772",97%,"14,431",100%,0,8
371,"Oct 18, 2009","$1,554,561",99%,"14,472",100%,0,8
372,"Oct 11, 2009","$1,552,645",99%,"14,472",100%,0,8
373,"Oct 4, 2009","$1,470,532",94%,"13,997",97%,0,8
374,"Sep 27, 2009","$1,481,120",95%,"14,387",99%,0,8
375,"Sep 20, 2009","$1,441,683",92%,"14,207",98%,0,8
376,"Sep 13, 2009","$1,406,548",90%,"13,970",97%,0,8
377,"Sep 6, 2009","$1,549,937",99%,"14,364",99%,0,8
378,"Aug 30, 2009","$1,609,027",103%,"14,472",100%,0,8
379,"Aug 23, 2009","$1,634,843",104%,"14,472",100%,0,8
380,"Aug 16, 2009","$1,645,488",105%,"14,472",100%,0,8
381,"Aug 9, 2009","$1,649,459",105%,"14,472",100%,0,8
382,"Aug 2, 2009","$1,627,239",104%,"14,472",100%,0,8
383,"Jul 26, 2009","$1,632,856",104%,"14,472",100%,0,8
384,"Jul 19, 2009","$1,634,385",104%,"14,472",100%,0,8
385,"Jul 12, 2009","$1,616,649",103%,"14,472",100%,0,8
386,"Jul 5, 2009","$1,573,163",100%,"14,445",100%,0,8
387,"Jun 28, 2009","$1,606,120",103%,"14,472",100%,0,8
388,"Jun 21, 2009","$1,579,549",101%,"14,472",100%,0,8
389,"Jun 14, 2009","$1,572,092",100%,"14,472",100%,0,8
390,"Jun 7, 2009","$1,545,886",99%,"14,472",100%,0,8
391,"May 31, 2009","$1,552,347",99%,"14,472",100%,0,8
392,"May 24, 2009","$1,416,179",100%,"14,472",100%,0,8
393,"May 17, 2009","$1,403,974",100%,"14,472",100%,0,8
394,"May 10, 2009","$1,380,171",98%,"14,405",100%,0,8
395,"May 3, 2009","$1,384,780",98%,"14,462",100%,0,8
396,"Apr 26, 2009","$1,458,664",103%,"14,336",99%,0,8
397,"Apr 19, 2009","$1,539,124",109%,"14,472",100%,0,8
398,"Apr 12, 2009","$1,524,141",108%,"14,472",100%,0,8
399,"Apr 5, 2009","$1,408,086",100%,"14,133",98%,0,8
