,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$599,538",59%,"6,136",73%,0,8
1,"Nov 20, 2016","$396,147",39%,"5,265",63%,0,8
2,"Nov 13, 2016","$695,669",69%,"7,306",87%,0,8
3,"Nov 6, 2016","$528,796",52%,"6,162",73%,0,8
4,"Oct 30, 2016","$614,642",61%,"6,806",81%,0,8
5,"Oct 23, 2016","$670,337",66%,"7,277",87%,0,8
6,"Oct 16, 2016","$645,797",64%,"7,034",84%,0,8
7,"Oct 9, 2016","$655,312",65%,"6,990",83%,0,8
8,"Oct 2, 2016","$656,071",65%,"7,116",85%,0,8
9,"Sep 25, 2016","$676,184",67%,"7,149",85%,0,8
10,"Sep 18, 2016","$735,521",72%,"8,170",97%,0,8
11,"Sep 11, 2016","$642,456",63%,"7,403",88%,0,8
12,"Sep 4, 2016","$686,701",68%,"7,636",91%,0,8
13,"Aug 28, 2016","$649,028",64%,"6,906",82%,0,8
14,"Aug 21, 2016","$609,638",59%,"6,332",75%,0,8
15,"Aug 14, 2016","$718,400",70%,"7,367",88%,0,8
16,"Aug 7, 2016","$755,554",73%,"7,774",92%,0,8
17,"Jul 31, 2016","$777,695",75%,"7,913",94%,0,8
18,"Jul 24, 2016","$789,876",76%,"8,123",97%,0,8
19,"Jul 17, 2016","$790,483",75%,"8,090",96%,0,8
20,"Jul 10, 2016","$689,987",66%,"7,331",87%,0,8
21,"Jul 3, 2016","$764,798",73%,"8,009",95%,0,8
22,"Jun 26, 2016","$799,021",76%,"8,209",98%,0,8
23,"Jun 19, 2016","$560,484",53%,"6,459",77%,0,8
24,"Jun 12, 2016","$672,299",64%,"7,342",87%,0,8
25,"Jun 5, 2016","$578,875",55%,"6,837",81%,0,8
26,"May 29, 2016","$615,210",58%,"7,002",83%,0,8
27,"May 22, 2016","$661,167",63%,"7,664",91%,0,8
28,"May 15, 2016","$604,552",57%,"6,976",83%,0,8
29,"May 8, 2016","$967,352",92%,"8,330",99%,0,8
30,"May 1, 2016","$879,248",83%,"8,245",98%,0,8
31,"Apr 24, 2016","$769,765",73%,"7,306",87%,0,8
32,"Apr 17, 2016","$696,493",66%,"6,752",80%,0,8
33,"Apr 10, 2016","$694,145",66%,"6,832",81%,0,8
34,"Apr 3, 2016","$757,240",72%,"7,549",90%,0,8
35,"Mar 27, 2016","$819,292",78%,"7,668",91%,0,8
36,"Mar 20, 2016","$768,846",74%,"7,439",88%,0,8
37,"Mar 13, 2016","$742,916",71%,"7,168",85%,0,8
38,"Mar 6, 2016","$722,487",69%,"7,039",84%,0,8
39,"Feb 28, 2016","$751,469",72%,"7,359",88%,0,8
40,"Feb 21, 2016","$832,786",80%,"7,942",94%,0,8
41,"Feb 14, 2016","$905,095",87%,"8,078",96%,0,8
42,"Feb 7, 2016","$815,646",79%,"8,253",98%,0,8
43,"Jan 31, 2016","$813,710",78%,"8,118",97%,0,8
44,"Jan 24, 2016","$549,933",72%,"5,697",90%,0,6
45,"Jan 17, 2016","$889,127",85%,"7,989",95%,0,8
46,"Jan 10, 2016","$787,187",76%,"7,115",85%,0,8
47,"Jan 3, 2016","$1,003,357",96%,"8,247",98%,0,8
48,"Dec 27, 2015","$1,008,774",97%,"8,291",99%,0,8
49,"Dec 20, 2015","$854,716",82%,"8,172",97%,0,8
50,"Dec 13, 2015","$696,030",68%,"8,370",100%,4,4
51,"Dec 6, 2015","$738,958",72%,"7,275",87%,8,0
52,"Nov 29, 2015","$736,425",72%,"7,451",89%,8,0
53,"Nov 22, 2015","$691,926",77%,"6,907",94%,7,0
54,"Nov 15, 2015","$690,820",89%,"6,186",98%,6,0
