,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$969,116",95%,"7,308",87%,0,8
1,"Nov 20, 2016","$844,022",83%,"7,507",90%,0,8
2,"Nov 13, 2016","$924,696",91%,"7,537",90%,0,8
3,"Nov 6, 2016","$819,567",80%,"6,898",83%,0,8
4,"Oct 30, 2016","$826,259",81%,"7,417",89%,0,8
5,"Oct 23, 2016","$982,814",96%,"7,860",94%,0,8
6,"Oct 16, 2016","$961,971",94%,"7,944",95%,0,8
7,"Oct 9, 2016","$967,183",95%,"7,799",93%,0,8
8,"Oct 2, 2016","$896,893",88%,"7,560",90%,0,8
9,"Sep 25, 2016","$876,282",86%,"7,411",89%,0,8
10,"Sep 18, 2016","$864,789",85%,"7,500",90%,0,8
11,"Sep 11, 2016","$770,055",76%,"6,593",79%,0,8
12,"Sep 4, 2016","$903,438",89%,"7,667",92%,0,8
13,"Aug 28, 2016","$878,241",86%,"7,727",92%,0,8
14,"Aug 21, 2016","$900,522",88%,"7,709",92%,0,8
15,"Aug 14, 2016","$990,128",97%,"8,058",96%,0,8
16,"Aug 7, 2016","$996,212",98%,"8,128",97%,0,8
17,"Jul 31, 2016","$1,042,654",102%,"8,209",98%,0,8
18,"Jul 24, 2016","$1,071,704",105%,"8,332",100%,0,8
19,"Jul 17, 2016","$1,068,393",105%,"8,360",100%,0,8
20,"Jul 10, 2016","$969,699",95%,"8,020",96%,0,8
21,"Jul 3, 2016","$1,010,938",99%,"8,324",100%,0,8
22,"Jun 26, 2016","$1,100,048",108%,"8,436",101%,0,8
23,"Jun 19, 2016","$1,084,775",106%,"8,407",101%,0,8
24,"Jun 12, 2016","$1,058,461",104%,"8,432",101%,0,8
25,"Jun 5, 2016","$981,923",96%,"8,212",98%,0,8
26,"May 29, 2016","$1,001,427",98%,"8,456",101%,0,8
27,"May 22, 2016","$982,755",96%,"8,456",101%,0,8
28,"May 15, 2016","$981,313",96%,"8,453",101%,0,8
29,"May 8, 2016","$960,477",94%,"8,375",100%,0,8
30,"May 1, 2016","$907,936",89%,"8,428",101%,0,8
31,"Apr 24, 2016","$746,871",73%,"8,419",101%,7,1
32,"Apr 17, 2016","$937,590",92%,"8,405",101%,8,0
33,"Apr 10, 2016","$880,303",86%,"8,356",100%,8,0
34,"Apr 3, 2016","$834,272",94%,"7,315",100%,7,0
35,"Mar 27, 2016","$425,830",111%,"3,171",101%,3,0
