,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$982,855",81%,"8,048",82%,0,8
1,"Nov 20, 2016","$895,029",78%,"8,636",88%,0,8
2,"Nov 13, 2016","$913,377",79%,"8,880",90%,0,8
3,"Nov 6, 2016","$784,834",68%,"7,849",80%,0,8
4,"Oct 30, 2016","$781,211",68%,"8,427",86%,0,8
5,"Oct 23, 2016","$830,563",72%,"8,828",90%,0,8
6,"Oct 16, 2016","$792,404",69%,"8,402",86%,0,8
7,"Oct 9, 2016","$751,871",65%,"7,961",81%,0,8
8,"Oct 2, 2016","$690,408",60%,"7,249",74%,0,8
9,"Sep 25, 2016","$606,097",53%,"6,436",66%,0,8
10,"Sep 18, 2016","$748,054",65%,"8,282",84%,0,8
11,"Sep 11, 2016","$593,985",52%,"6,757",69%,0,8
12,"Sep 4, 2016","$538,955",47%,"6,135",62%,0,8
13,"Aug 28, 2016","$484,471",42%,"5,681",58%,0,8
14,"Aug 21, 2016","$478,475",42%,"5,504",56%,0,8
15,"Aug 14, 2016","$530,413",46%,"5,991",61%,0,8
16,"Aug 7, 2016","$519,934",45%,"5,914",60%,0,8
17,"Jul 31, 2016","$548,113",48%,"6,259",64%,0,8
18,"Jul 24, 2016","$521,576",45%,"6,384",65%,0,8
19,"Jul 17, 2016","$542,904",47%,"6,452",66%,0,8
20,"Jul 10, 2016","$489,255",43%,"5,742",58%,0,8
21,"Jul 3, 2016","$540,597",47%,"6,394",65%,0,8
22,"Jun 26, 2016","$590,406",51%,"6,698",68%,0,8
23,"Jun 19, 2016","$534,079",46%,"5,962",61%,0,8
24,"Jun 12, 2016","$540,996",47%,"6,133",62%,0,8
25,"Jun 5, 2016","$505,461",44%,"5,823",59%,0,8
26,"May 29, 2016","$539,847",47%,"5,966",61%,0,8
27,"May 22, 2016","$584,273",51%,"6,492",66%,0,8
28,"May 15, 2016","$570,232",50%,"6,069",62%,0,8
29,"May 8, 2016","$520,425",45%,"5,701",58%,0,8
30,"May 1, 2016","$553,984",48%,"6,099",62%,0,8
31,"Apr 24, 2016","$531,076",46%,"5,780",59%,0,8
32,"Apr 17, 2016","$525,127",46%,"5,810",59%,0,8
33,"Apr 10, 2016","$495,098",43%,"5,712",58%,0,8
34,"Apr 3, 2016","$697,679",61%,"7,950",81%,0,8
35,"Mar 27, 2016","$713,574",62%,"8,066",82%,0,8
36,"Mar 20, 2016","$636,123",55%,"7,255",74%,0,8
37,"Mar 13, 2016","$564,025",49%,"6,387",65%,0,8
38,"Mar 6, 2016","$490,591",43%,"5,607",57%,0,8
39,"Feb 28, 2016","$482,602",42%,"5,414",55%,0,8
40,"Feb 21, 2016","$607,591",53%,"6,984",71%,0,8
41,"Feb 14, 2016","$595,522",52%,"6,448",66%,0,8
42,"Feb 7, 2016","$465,912",40%,"5,303",54%,0,8
43,"Jan 31, 2016","$571,964",50%,"6,400",65%,0,8
44,"Jan 24, 2016","$344,021",41%,"4,304",58%,0,6
45,"Jan 17, 2016","$668,825",58%,"7,282",74%,0,8
46,"Jan 10, 2016","$761,766",66%,"8,229",84%,0,8
47,"Jan 3, 2016","$922,954",82%,"7,939",92%,0,7
48,"Dec 27, 2015","$903,538",63%,"7,879",71%,0,9
49,"Dec 20, 2015","$644,517",56%,"6,184",63%,0,8
50,"Dec 13, 2015","$691,898",60%,"6,650",68%,0,8
51,"Dec 6, 2015","$741,956",64%,"7,127",73%,0,8
52,"Nov 29, 2015","$715,382",62%,"6,699",68%,0,8
53,"Nov 22, 2015","$523,602",45%,"5,354",54%,0,8
54,"Nov 15, 2015","$636,002",55%,"6,436",66%,0,8
55,"Nov 8, 2015","$636,186",55%,"7,157",73%,0,8
56,"Nov 1, 2015","$547,207",48%,"6,173",63%,0,8
57,"Oct 25, 2015","$698,868",61%,"7,290",74%,0,8
58,"Oct 18, 2015","$699,847",61%,"7,419",76%,0,8
59,"Oct 11, 2015","$738,191",64%,"7,431",76%,0,8
60,"Oct 4, 2015","$600,079",52%,"6,289",64%,0,8
61,"Sep 27, 2015","$650,035",56%,"6,802",69%,0,8
62,"Sep 20, 2015","$778,367",68%,"8,206",84%,0,8
63,"Sep 13, 2015","$691,833",60%,"7,522",77%,0,8
64,"Sep 6, 2015","$595,598",52%,"6,376",65%,0,8
65,"Aug 30, 2015","$529,457",46%,"6,001",61%,0,8
66,"Aug 23, 2015","$579,920",50%,"6,420",65%,0,8
67,"Aug 16, 2015","$599,028",52%,"6,524",66%,0,8
68,"Aug 9, 2015","$615,641",53%,"6,629",67%,0,8
69,"Aug 2, 2015","$651,437",57%,"7,053",72%,0,8
70,"Jul 26, 2015","$683,286",59%,"7,158",73%,0,8
71,"Jul 19, 2015","$709,588",62%,"7,430",76%,0,8
72,"Jul 12, 2015","$614,775",53%,"6,423",65%,0,8
73,"Jul 5, 2015","$644,185",56%,"7,319",75%,0,8
74,"Jun 28, 2015","$744,540",65%,"7,527",77%,0,8
75,"Jun 21, 2015","$680,486",59%,"7,058",72%,0,8
76,"Jun 14, 2015","$681,426",59%,"7,144",73%,0,8
77,"Jun 7, 2015","$639,044",56%,"6,565",67%,0,8
78,"May 31, 2015","$643,630",56%,"6,847",70%,0,8
79,"May 24, 2015","$723,418",63%,"7,598",77%,0,8
80,"May 17, 2015","$686,201",60%,"6,998",71%,0,8
81,"May 10, 2015","$630,632",55%,"6,398",65%,0,8
82,"May 3, 2015","$575,211",50%,"5,913",60%,0,8
83,"Apr 26, 2015","$614,631",53%,"6,295",64%,0,8
84,"Apr 19, 2015","$659,295",57%,"6,545",67%,0,8
85,"Apr 12, 2015","$808,116",70%,"8,231",84%,0,8
86,"Apr 5, 2015","$710,080",62%,"7,466",76%,0,8
87,"Mar 29, 2015","$738,877",64%,"8,053",82%,0,8
88,"Mar 22, 2015","$783,181",68%,"8,390",85%,0,8
89,"Mar 15, 2015","$720,612",63%,"7,838",80%,0,8
90,"Mar 8, 2015","$592,549",51%,"6,348",65%,0,8
91,"Mar 1, 2015","$579,183",50%,"6,230",63%,0,8
92,"Feb 22, 2015","$734,939",64%,"7,709",78%,0,8
93,"Feb 15, 2015","$679,472",59%,"6,569",67%,0,8
94,"Feb 8, 2015","$616,604",54%,"6,870",70%,0,8
95,"Feb 1, 2015","$624,100",54%,"6,953",71%,0,8
96,"Jan 25, 2015","$710,588",62%,"7,798",79%,0,8
97,"Jan 18, 2015","$742,891",65%,"8,032",82%,0,8
98,"Jan 11, 2015","$784,031",68%,"8,653",88%,0,8
99,"Jan 4, 2015","$1,091,460",85%,"9,265",94%,0,8
100,"Dec 28, 2014","$1,239,004",96%,"9,418",96%,0,8
101,"Dec 21, 2014","$837,362",70%,"7,255",74%,0,8
102,"Dec 14, 2014","$847,588",70%,"7,680",78%,0,8
103,"Dec 7, 2014","$913,846",76%,"7,836",80%,0,8
104,"Nov 30, 2014","$920,735",74%,"7,913",81%,0,8
105,"Nov 23, 2014","$727,159",63%,"7,132",73%,0,8
106,"Nov 16, 2014","$727,348",63%,"6,994",71%,0,8
107,"Nov 9, 2014","$826,987",72%,"7,909",81%,0,8
108,"Nov 2, 2014","$675,647",59%,"6,782",69%,0,8
109,"Oct 26, 2014","$826,860",72%,"7,992",81%,0,8
110,"Oct 19, 2014","$860,751",75%,"8,208",84%,0,8
111,"Oct 12, 2014","$940,451",78%,"8,817",90%,0,8
112,"Oct 5, 2014","$844,166",74%,"8,256",84%,0,8
113,"Sep 28, 2014","$817,139",71%,"7,770",79%,0,8
114,"Sep 21, 2014","$868,591",76%,"8,300",84%,0,8
115,"Sep 14, 2014","$848,378",74%,"8,561",87%,0,8
116,"Sep 7, 2014","$799,476",70%,"8,087",82%,0,8
117,"Aug 31, 2014","$834,445",73%,"8,333",85%,0,8
118,"Aug 24, 2014","$804,364",70%,"8,050",82%,0,8
119,"Aug 17, 2014","$808,545",71%,"8,329",85%,0,8
120,"Aug 10, 2014","$853,728",74%,"8,393",85%,0,8
121,"Aug 3, 2014","$867,352",76%,"8,578",87%,0,8
122,"Jul 27, 2014","$902,008",79%,"9,085",92%,0,8
123,"Jul 20, 2014","$873,784",76%,"8,687",88%,0,8
124,"Jul 13, 2014","$857,349",75%,"8,544",87%,0,8
125,"Jul 6, 2014","$822,944",73%,"8,787",89%,0,8
126,"Jun 29, 2014","$909,479",79%,"8,960",91%,0,8
127,"Jun 22, 2014","$901,234",79%,"8,907",91%,0,8
128,"Jun 15, 2014","$820,918",72%,"8,439",86%,0,8
129,"Jun 8, 2014","$715,475",62%,"7,240",74%,0,8
130,"Jun 1, 2014","$695,419",61%,"7,094",72%,0,8
131,"May 25, 2014","$819,397",71%,"8,305",85%,0,8
132,"May 18, 2014","$776,136",68%,"7,808",79%,0,8
133,"May 11, 2014","$744,831",65%,"7,436",76%,0,8
134,"May 4, 2014","$699,790",61%,"7,189",73%,0,8
135,"Apr 27, 2014","$800,204",70%,"8,253",84%,0,8
136,"Apr 20, 2014","$854,430",75%,"8,556",87%,0,8
137,"Apr 13, 2014","$665,420",58%,"6,741",69%,0,8
138,"Apr 6, 2014","$647,306",56%,"6,458",66%,0,8
139,"Mar 30, 2014","$737,384",64%,"7,700",78%,0,8
140,"Mar 23, 2014","$669,085",58%,"7,169",73%,0,8
141,"Mar 16, 2014","$684,421",60%,"7,200",73%,0,8
142,"Mar 9, 2014","$600,488",52%,"6,228",63%,0,8
143,"Mar 2, 2014","$575,260",50%,"6,083",62%,0,8
144,"Feb 23, 2014","$734,020",64%,"7,635",78%,0,8
145,"Feb 16, 2014","$725,805",61%,"6,499",66%,0,8
146,"Feb 9, 2014","$618,954",54%,"6,485",66%,0,8
