,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
147,"Feb 2, 2014","$538,710",47%,"5,760",59%,0,8
148,"Jan 26, 2014","$702,496",61%,"7,118",72%,0,8
149,"Jan 19, 2014","$709,931",60%,"6,732",69%,0,8
150,"Jan 12, 2014","$715,549",62%,"6,872",70%,0,8
151,"Jan 5, 2014","$928,795",72%,"7,707",78%,0,8
152,"Dec 29, 2013","$1,285,451",100%,"9,619",98%,0,8
153,"Dec 22, 2013","$871,578",67%,"8,130",83%,0,8
154,"Dec 15, 2013","$953,819",74%,"8,423",86%,0,8
155,"Dec 8, 2013","$1,030,341",80%,"8,618",88%,0,8
156,"Dec 1, 2013","$914,762",69%,"7,912",81%,0,8
157,"Nov 24, 2013","$685,562",53%,"6,744",69%,0,8
158,"Nov 17, 2013","$747,961",58%,"7,239",74%,0,8
159,"Nov 10, 2013","$843,189",65%,"7,933",81%,0,8
160,"Nov 3, 2013","$754,241",58%,"7,528",77%,0,8
161,"Oct 27, 2013","$869,462",67%,"8,468",86%,0,8
162,"Oct 20, 2013","$967,800",75%,"9,111",93%,0,8
163,"Oct 13, 2013","$980,494",76%,"8,862",90%,0,8
164,"Oct 6, 2013","$889,467",69%,"8,527",87%,0,8
165,"Sep 29, 2013","$861,977",67%,"8,531",87%,0,8
166,"Sep 22, 2013","$876,545",68%,"8,536",87%,0,8
167,"Sep 15, 2013","$847,978",66%,"8,815",90%,0,8
168,"Sep 8, 2013","$785,299",61%,"8,425",86%,0,8
169,"Sep 1, 2013","$804,982",62%,"8,523",87%,0,8
170,"Aug 25, 2013","$762,714",59%,"8,172",83%,0,8
171,"Aug 18, 2013","$812,903",63%,"8,733",89%,0,8
172,"Aug 11, 2013","$855,282",66%,"8,902",91%,0,8
173,"Aug 4, 2013","$834,861",65%,"8,641",88%,0,8
174,"Jul 28, 2013","$892,625",69%,"9,214",94%,0,8
175,"Jul 21, 2013","$858,871",66%,"8,712",89%,0,8
176,"Jul 14, 2013","$816,847",63%,"8,366",85%,0,8
177,"Jul 7, 2013","$852,703",66%,"9,001",92%,0,8
178,"Jun 30, 2013","$901,107",70%,"8,973",91%,0,8
179,"Jun 23, 2013","$916,167",71%,"9,052",92%,0,8
180,"Jun 16, 2013","$845,630",65%,"8,594",87%,0,8
181,"Jun 9, 2013","$859,329",67%,"8,409",86%,0,8
182,"Jun 2, 2013","$835,718",65%,"8,421",86%,0,8
183,"May 26, 2013","$942,078",73%,"9,308",95%,0,8
184,"May 19, 2013","$956,177",74%,"9,056",92%,0,8
185,"May 12, 2013","$891,835",69%,"8,881",90%,0,8
186,"May 5, 2013","$833,113",65%,"8,195",83%,0,8
187,"Apr 28, 2013","$867,043",67%,"8,471",86%,0,8
188,"Apr 21, 2013","$879,720",68%,"8,355",85%,0,8
189,"Apr 14, 2013","$861,854",67%,"8,217",84%,0,8
190,"Apr 7, 2013","$1,015,051",79%,"9,002",92%,0,8
191,"Mar 31, 2013","$1,025,947",79%,"9,668",98%,0,8
192,"Mar 24, 2013","$883,045",68%,"9,062",92%,0,8
193,"Mar 17, 2013","$905,013",70%,"9,263",94%,0,8
194,"Mar 10, 2013","$817,456",63%,"7,952",81%,0,8
195,"Mar 3, 2013","$758,714",59%,"7,897",80%,0,8
196,"Feb 24, 2013","$844,357",65%,"8,584",87%,0,8
197,"Feb 17, 2013","$882,204",68%,"7,938",81%,0,8
198,"Feb 10, 2013","$718,117",56%,"7,786",79%,0,8
199,"Feb 3, 2013","$779,682",60%,"8,322",85%,0,8
200,"Jan 27, 2013","$871,297",67%,"8,606",88%,0,8
201,"Jan 20, 2013","$823,113",64%,"7,644",78%,0,8
202,"Jan 13, 2013","$892,531",69%,"8,153",83%,0,8
203,"Jan 6, 2013","$1,112,848",86%,"9,509",97%,0,8
204,"Dec 30, 2012","$1,367,678",106%,"9,771",99%,0,8
205,"Dec 23, 2012","$950,424",82%,"8,166",83%,0,8
206,"Dec 16, 2012","$1,012,884",87%,"8,681",88%,0,8
207,"Dec 9, 2012","$1,080,834",93%,"9,040",92%,0,8
208,"Dec 2, 2012","$1,018,387",88%,"8,788",89%,0,8
209,"Nov 25, 2012","$1,009,048",87%,"8,483",86%,0,8
210,"Nov 18, 2012","$892,074",77%,"8,725",89%,0,8
211,"Nov 11, 2012","$892,540",76%,"8,559",87%,0,8
212,"Nov 4, 2012","$651,908",73%,"6,288",85%,0,6
213,"Oct 28, 2012","$959,737",81%,"9,151",93%,0,8
214,"Oct 21, 2012","$1,058,814",90%,"9,685",99%,0,8
215,"Oct 14, 2012","$1,051,374",89%,"9,547",97%,0,8
216,"Oct 7, 2012","$1,156,115",98%,"9,735",99%,0,8
217,"Sep 30, 2012","$1,052,914",89%,"9,645",98%,0,8
218,"Sep 23, 2012","$976,415",83%,"9,171",93%,0,8
219,"Sep 16, 2012","$962,514",82%,"9,451",96%,0,8
220,"Sep 9, 2012","$891,077",75%,"9,064",92%,0,8
221,"Sep 2, 2012","$907,978",77%,"8,894",91%,0,8
222,"Aug 26, 2012","$899,124",76%,"9,008",92%,0,8
223,"Aug 19, 2012","$896,346",76%,"9,096",93%,0,8
224,"Aug 12, 2012","$910,085",77%,"9,245",94%,0,8
225,"Aug 5, 2012","$878,625",74%,"8,794",90%,0,8
226,"Jul 29, 2012","$924,710",78%,"9,269",94%,0,8
227,"Jul 22, 2012","$906,865",77%,"8,856",90%,0,8
228,"Jul 15, 2012","$955,638",81%,"9,460",96%,0,8
229,"Jul 8, 2012","$918,130",78%,"9,458",96%,0,8
230,"Jul 1, 2012","$887,165",75%,"9,146",93%,0,8
231,"Jun 24, 2012","$947,229",80%,"9,099",93%,0,8
232,"Jun 17, 2012","$898,832",76%,"9,057",92%,0,8
233,"Jun 10, 2012","$946,692",80%,"8,913",91%,0,8
234,"Jun 3, 2012","$865,602",73%,"8,453",86%,0,8
235,"May 27, 2012","$977,394",83%,"9,348",95%,0,8
236,"May 20, 2012","$1,037,040",88%,"9,478",96%,0,8
237,"May 13, 2012","$937,635",79%,"8,684",88%,0,8
238,"May 6, 2012","$910,791",77%,"8,615",88%,0,8
239,"Apr 29, 2012","$907,895",77%,"8,552",87%,0,8
240,"Apr 22, 2012","$936,187",79%,"8,879",90%,0,8
241,"Apr 15, 2012","$1,064,002",90%,"9,703",99%,0,8
242,"Apr 8, 2012","$942,780",80%,"8,997",92%,0,8
243,"Apr 1, 2012","$935,727",79%,"9,200",94%,0,8
244,"Mar 25, 2012","$979,435",83%,"9,408",96%,0,8
245,"Mar 18, 2012","$913,217",77%,"9,334",95%,0,8
246,"Mar 11, 2012","$938,081",79%,"9,201",94%,0,8
247,"Mar 4, 2012","$829,842",70%,"8,116",83%,0,8
248,"Feb 26, 2012","$1,018,596",86%,"9,696",99%,0,8
249,"Feb 19, 2012","$1,037,786",88%,"9,326",95%,0,8
250,"Feb 12, 2012","$864,895",73%,"8,471",86%,0,8
251,"Feb 5, 2012","$816,388",69%,"8,801",90%,0,8
252,"Jan 29, 2012","$923,335",78%,"9,345",95%,0,8
253,"Jan 22, 2012","$915,982",78%,"9,057",92%,0,8
254,"Jan 15, 2012","$960,761",81%,"8,709",89%,0,8
255,"Jan 8, 2012","$1,053,655",89%,"9,451",96%,0,8
256,"Jan 1, 2012","$1,375,368",116%,"9,869",100%,0,8
257,"Dec 25, 2011","$916,585",78%,"8,652",88%,0,8
258,"Dec 18, 2011","$1,051,507",89%,"9,166",93%,0,8
259,"Dec 11, 2011","$1,133,208",96%,"9,410",96%,0,8
260,"Dec 4, 2011","$1,045,834",89%,"8,747",89%,0,8
261,"Nov 27, 2011","$1,099,523",93%,"9,018",92%,0,8
262,"Nov 20, 2011","$937,930",79%,"8,744",89%,0,8
263,"Nov 13, 2011","$1,019,387",86%,"9,020",92%,0,8
264,"Nov 6, 2011","$941,158",80%,"8,701",89%,0,8
265,"Oct 30, 2011","$956,800",81%,"9,165",93%,0,8
266,"Oct 23, 2011","$1,063,572",90%,"9,539",97%,0,8
267,"Oct 16, 2011","$1,068,613",91%,"9,684",99%,0,8
268,"Oct 9, 2011","$1,083,996",92%,"9,636",98%,0,8
269,"Oct 2, 2011","$1,046,561",89%,"9,753",99%,0,8
270,"Sep 25, 2011","$1,030,749",87%,"9,633",98%,0,8
271,"Sep 18, 2011","$982,489",87%,"9,347",95%,0,8
272,"Sep 11, 2011","$806,153",72%,"8,007",82%,0,8
273,"Sep 4, 2011","$899,240",80%,"8,812",90%,0,8
274,"Aug 28, 2011","$535,578",76%,"5,571",91%,0,5
275,"Aug 21, 2011","$925,196",82%,"9,115",93%,0,8
276,"Aug 14, 2011","$958,824",82%,"9,255",94%,0,8
277,"Aug 7, 2011","$959,486",82%,"9,352",95%,0,8
278,"Jul 31, 2011","$956,795",82%,"9,363",95%,0,8
279,"Jul 24, 2011","$987,461",84%,"9,445",96%,0,8
280,"Jul 17, 2011","$982,118",84%,"9,644",98%,0,8
281,"Jul 10, 2011","$956,355",82%,"9,669",98%,0,8
282,"Jul 3, 2011","$979,761",84%,"9,646",98%,0,8
283,"Jun 26, 2011","$1,068,423",91%,"9,782",100%,0,8
284,"Jun 19, 2011","$1,034,856",88%,"9,654",98%,0,8
285,"Jun 12, 2011","$1,056,720",90%,"9,672",98%,0,8
286,"Jun 5, 2011","$974,481",83%,"9,112",93%,0,8
287,"May 29, 2011","$1,033,254",88%,"9,530",97%,0,8
288,"May 22, 2011","$1,113,978",95%,"9,796",100%,0,8
289,"May 15, 2011","$1,061,397",91%,"9,521",97%,0,8
290,"May 8, 2011","$1,006,650",86%,"9,171",93%,0,8
291,"May 1, 2011","$1,060,504",90%,"9,602",98%,0,8
292,"Apr 24, 2011","$1,166,314",99%,"9,846",100%,0,8
293,"Apr 17, 2011","$991,371",85%,"8,993",92%,0,8
294,"Apr 10, 2011","$1,009,006",86%,"9,474",96%,0,8
295,"Apr 3, 2011","$992,577",85%,"9,405",96%,0,8
296,"Mar 27, 2011","$1,011,357",86%,"9,265",94%,0,8
297,"Mar 20, 2011","$1,064,222",91%,"9,653",98%,0,8
298,"Mar 13, 2011","$962,541",82%,"8,886",90%,0,8
299,"Mar 6, 2011","$855,041",73%,"7,863",80%,0,8
300,"Feb 27, 2011","$1,062,895",91%,"9,629",98%,0,8
301,"Feb 20, 2011","$986,328",84%,"8,824",90%,0,8
302,"Feb 13, 2011","$981,264",84%,"9,367",95%,0,8
303,"Feb 6, 2011","$866,391",74%,"8,725",89%,0,8
304,"Jan 30, 2011","$962,259",82%,"8,864",90%,0,8
305,"Jan 23, 2011","$933,386",80%,"8,279",84%,0,8
306,"Jan 16, 2011","$974,615",83%,"8,565",87%,0,8
307,"Jan 9, 2011","$1,068,423",91%,"9,614",98%,0,8
308,"Jan 2, 2011","$1,372,391",117%,"9,845",100%,0,8
309,"Dec 26, 2010","$1,156,942",99%,"9,066",92%,0,8
310,"Dec 19, 2010","$1,133,645",97%,"9,403",96%,0,8
311,"Dec 12, 2010","$1,249,427",107%,"9,638",98%,0,8
312,"Dec 5, 2010","$1,237,955",106%,"9,374",95%,0,8
313,"Nov 28, 2010","$1,269,247",108%,"9,577",97%,0,8
314,"Nov 21, 2010","$1,068,792",91%,"9,078",92%,0,8
315,"Nov 14, 2010","$1,104,868",94%,"9,479",96%,0,8
316,"Nov 7, 2010","$1,063,655",91%,"9,389",96%,0,8
317,"Oct 31, 2010","$1,011,799",86%,"9,400",96%,0,8
318,"Oct 24, 2010","$1,106,734",94%,"9,692",99%,0,8
319,"Oct 17, 2010","$1,112,513",95%,"9,816",100%,0,8
320,"Oct 10, 2010","$1,166,656",99%,"9,770",99%,0,8
321,"Oct 3, 2010","$1,086,925",93%,"9,674",98%,0,8
322,"Sep 26, 2010","$1,088,466",93%,"9,803",100%,0,8
323,"Sep 19, 2010","$1,046,786",89%,"9,613",98%,0,8
324,"Sep 12, 2010","$961,606",82%,"9,271",94%,0,8
325,"Sep 5, 2010","$1,017,390",87%,"9,505",97%,0,8
326,"Aug 29, 2010","$1,014,108",86%,"9,696",99%,0,8
327,"Aug 22, 2010","$1,020,157",87%,"9,643",98%,0,8
328,"Aug 15, 2010","$1,012,390",86%,"9,440",96%,0,8
329,"Aug 8, 2010","$1,025,072",87%,"9,564",97%,0,8
330,"Aug 1, 2010","$1,001,306",85%,"9,321",95%,0,8
331,"Jul 25, 2010","$1,024,188",87%,"9,427",96%,0,8
332,"Jul 18, 2010","$1,035,256",88%,"9,416",96%,0,8
333,"Jul 11, 2010","$938,983",80%,"8,711",89%,0,8
334,"Jul 4, 2010","$959,230",82%,"9,168",93%,0,8
335,"Jun 27, 2010","$1,083,587",92%,"9,751",99%,0,8
336,"Jun 20, 2010","$1,070,258",91%,"9,589",98%,0,8
337,"Jun 13, 2010","$1,069,344",91%,"9,461",96%,0,8
338,"Jun 6, 2010","$963,853",82%,"8,700",89%,0,8
339,"May 30, 2010","$1,065,157",91%,"9,673",98%,0,8
340,"May 23, 2010","$1,110,496",95%,"9,787",100%,0,8
341,"May 16, 2010","$1,096,659",94%,"9,659",98%,0,8
342,"May 9, 2010","$1,036,665",88%,"9,279",94%,0,8
343,"May 2, 2010","$1,034,232",88%,"9,237",94%,0,8
344,"Apr 25, 2010","$1,079,432",92%,"9,605",98%,0,8
345,"Apr 18, 2010","$1,042,614",89%,"9,316",95%,0,8
346,"Apr 11, 2010","$871,955",99%,"7,264",99%,0,6
347,"Apr 4, 2010","$1,094,039",93%,"9,765",99%,0,8
348,"Mar 28, 2010","$1,043,861",89%,"9,459",96%,0,8
349,"Mar 21, 2010","$1,055,904",90%,"9,627",98%,0,8
350,"Mar 14, 2010","$1,052,412",90%,"9,632",98%,0,8
351,"Mar 7, 2010","$987,427",84%,"9,041",92%,0,8
352,"Feb 28, 2010","$986,266",84%,"9,140",93%,0,8
353,"Feb 21, 2010","$1,145,386",98%,"9,865",100%,0,8
354,"Feb 14, 2010","$986,753",84%,"8,716",89%,0,8
355,"Feb 7, 2010","$946,813",81%,"8,698",89%,0,8
356,"Jan 31, 2010","$1,067,889",91%,"9,607",98%,0,8
357,"Jan 24, 2010","$1,072,634",91%,"9,518",97%,0,8
358,"Jan 17, 2010","$1,124,807",96%,"9,749",99%,0,8
359,"Jan 10, 2010","$1,135,065",97%,"9,791",100%,0,8
360,"Jan 3, 2010","$1,440,456",105%,"9,861",101%,0,8
361,"Dec 27, 2009","$1,290,426",102%,"9,746",100%,0,8
362,"Dec 20, 2009","$1,159,833",103%,"9,776",100%,0,8
363,"Dec 13, 2009","$1,227,946",109%,"9,868",101%,0,8
364,"Dec 6, 2009","$1,226,872",109%,"9,872",101%,0,8
365,"Nov 29, 2009","$1,323,745",103%,"9,830",101%,0,8
366,"Nov 22, 2009","$1,149,626",102%,"9,823",100%,0,8
367,"Nov 15, 2009","$1,191,398",106%,"9,881",101%,0,8
368,"Nov 8, 2009","$1,179,345",105%,"9,891",101%,0,8
369,"Nov 1, 2009","$1,112,351",99%,"9,784",100%,0,8
370,"Oct 25, 2009","$1,175,433",105%,"9,898",101%,0,8
371,"Oct 18, 2009","$1,160,186",103%,"9,900",101%,0,8
372,"Oct 11, 2009","$1,167,196",104%,"9,895",101%,0,8
373,"Oct 4, 2009","$1,142,846",102%,"9,900",101%,0,8
374,"Sep 27, 2009","$1,146,890",102%,"9,892",101%,0,8
375,"Sep 20, 2009","$1,126,009",100%,"9,896",101%,0,8
376,"Sep 13, 2009","$1,134,039",101%,"9,894",101%,0,8
377,"Sep 6, 2009","$1,129,108",101%,"9,899",101%,0,8
378,"Aug 30, 2009","$1,143,248",102%,"9,897",101%,0,8
379,"Aug 23, 2009","$1,126,088",100%,"9,886",101%,0,8
380,"Aug 16, 2009","$1,154,537",103%,"9,900",101%,0,8
381,"Aug 9, 2009","$1,162,436",103%,"9,899",101%,0,8
382,"Aug 2, 2009","$1,150,344",102%,"9,899",101%,0,8
383,"Jul 26, 2009","$1,155,417",103%,"9,898",101%,0,8
384,"Jul 19, 2009","$1,147,932",102%,"9,897",101%,0,8
385,"Jul 12, 2009","$1,151,026",102%,"9,893",101%,0,8
386,"Jul 5, 2009","$1,101,363",98%,"9,719",99%,0,8
387,"Jun 28, 2009","$1,151,195",102%,"9,896",101%,0,8
388,"Jun 21, 2009","$1,150,424",102%,"9,902",101%,0,8
389,"Jun 14, 2009","$1,155,591",103%,"9,900",101%,0,8
390,"Jun 7, 2009","$1,105,594",98%,"9,741",100%,0,8
391,"May 31, 2009","$1,109,155",99%,"9,807",100%,0,8
392,"May 24, 2009","$1,041,387",123%,"9,880",101%,0,8
393,"May 17, 2009","$1,033,177",122%,"9,886",101%,0,8
394,"May 10, 2009","$1,013,628",120%,"9,751",100%,0,8
395,"May 3, 2009","$1,013,306",120%,"9,682",99%,0,8
396,"Apr 26, 2009","$1,037,565",123%,"9,804",100%,0,8
397,"Apr 19, 2009","$1,067,477",126%,"9,899",101%,0,8
398,"Apr 12, 2009","$1,043,780",123%,"9,893",101%,0,8
399,"Apr 5, 2009","$974,724",115%,"9,472",97%,0,8
400,"Mar 29, 2009","$1,010,789",119%,"9,765",100%,0,8
401,"Mar 22, 2009","$1,032,100",122%,"9,833",101%,0,8
402,"Mar 15, 2009","$945,113",112%,"9,156",94%,0,8
403,"Mar 8, 2009","$940,795",111%,"8,968",92%,0,8
404,"Mar 1, 2009","$955,865",113%,"9,019",92%,0,8
405,"Feb 22, 2009","$1,051,295",124%,"9,892",101%,0,8
406,"Feb 15, 2009","$991,452",117%,"9,058",93%,0,8
407,"Feb 8, 2009","$934,055",110%,"8,662",89%,0,8
408,"Feb 1, 2009","$941,089",111%,"8,905",91%,0,8
409,"Jan 25, 2009","$990,622",117%,"9,125",93%,0,8
410,"Jan 18, 2009","$1,039,863",123%,"9,643",99%,0,8
411,"Jan 11, 2009","$1,064,072",126%,"9,660",99%,0,8
412,"Jan 4, 2009","$1,248,236",147%,"9,871",101%,0,8
413,"Dec 28, 2008","$1,338,151",158%,"9,693",99%,0,8
414,"Dec 21, 2008","$1,073,697",127%,"9,657",99%,0,8
