,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$1,256,000",84%,"11,796",92%,0,8
1,"Nov 20, 2016","$731,274",49%,"8,819",69%,0,8
2,"Nov 13, 2016","$906,205",61%,"10,210",80%,0,8
3,"Nov 6, 2016","$776,358",52%,"8,783",68%,0,8
4,"Oct 30, 2016","$839,632",56%,"9,620",75%,0,8
5,"Oct 23, 2016","$915,485",61%,"10,539",82%,0,8
6,"Oct 16, 2016","$971,894",65%,"10,856",85%,0,8
7,"Oct 9, 2016","$990,091",66%,"11,120",87%,0,8
8,"Oct 2, 2016","$843,968",56%,"9,430",73%,0,8
9,"Sep 25, 2016","$821,066",54%,"9,344",73%,0,8
10,"Sep 18, 2016","$951,282",63%,"11,734",91%,0,8
11,"Sep 11, 2016","$833,788",55%,"9,932",77%,0,8
12,"Sep 4, 2016","$823,061",54%,"9,469",74%,0,8
13,"Aug 28, 2016","$810,486",54%,"9,165",71%,0,8
14,"Aug 21, 2016","$893,112",59%,"9,920",77%,0,8
15,"Aug 14, 2016","$999,632",66%,"10,966",85%,0,8
16,"Aug 7, 2016","$961,265",63%,"10,475",82%,0,8
17,"Jul 31, 2016","$1,016,634",67%,"11,093",86%,0,8
18,"Jul 24, 2016","$1,016,681",67%,"11,107",87%,0,8
19,"Jul 17, 2016","$984,395",65%,"10,811",84%,0,8
20,"Jul 10, 2016","$897,993",59%,"9,850",77%,0,8
21,"Jul 3, 2016","$953,783",63%,"10,606",83%,0,8
22,"Jun 26, 2016","$998,680",66%,"11,066",86%,0,8
23,"Jun 19, 2016","$958,711",63%,"10,587",82%,0,8
24,"Jun 12, 2016","$941,327",62%,"10,831",84%,0,8
25,"Jun 5, 2016","$857,783",57%,"9,881",77%,0,8
26,"May 29, 2016","$1,026,927",68%,"11,683",91%,0,8
27,"May 22, 2016","$1,033,513",68%,"12,068",94%,0,8
28,"May 15, 2016","$832,886",55%,"9,788",76%,0,8
29,"May 8, 2016","$803,456",53%,"9,474",74%,0,8
30,"May 1, 2016","$892,752",59%,"10,623",83%,0,8
31,"Apr 24, 2016","$761,147",50%,"9,196",72%,0,8
32,"Apr 17, 2016","$755,682",50%,"8,793",68%,0,8
33,"Apr 10, 2016","$910,453",60%,"10,912",85%,0,8
34,"Apr 3, 2016","$1,148,699",76%,"10,705",83%,0,8
35,"Mar 27, 2016","$1,352,186",89%,"12,085",94%,0,8
36,"Mar 20, 2016","$981,647",65%,"11,072",86%,0,8
37,"Mar 13, 2016","$723,466",48%,"8,615",67%,0,8
38,"Mar 6, 2016","$552,229",36%,"6,740",52%,0,8
39,"Feb 28, 2016","$518,384",34%,"6,547",51%,0,8
40,"Feb 21, 2016","$729,805",48%,"8,859",69%,0,8
41,"Feb 14, 2016","$779,491",51%,"9,164",71%,0,8
42,"Feb 7, 2016","$618,591",41%,"8,249",64%,0,8
43,"Jan 31, 2016","$599,766",40%,"7,922",62%,0,8
44,"Jan 24, 2016","$397,769",35%,"5,683",59%,0,6
45,"Jan 17, 2016","$635,769",42%,"7,775",61%,0,8
