,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$865,686",58%,"9,620",72%,0,8
1,"Nov 20, 2016","$596,494",46%,"7,562",68%,0,8
2,"Nov 13, 2016","$674,604",50%,"8,760",75%,0,8
3,"Nov 6, 2016","$548,653",39%,"6,996",55%,0,8
4,"Oct 30, 2016","$494,814",34%,"6,157",46%,0,8
5,"Oct 23, 2016","$635,919",49%,"8,084",73%,0,8
6,"Oct 16, 2016","$626,929",48%,"8,014",72%,0,8
7,"Oct 9, 2016","$634,006",47%,"7,334",63%,0,8
8,"Oct 2, 2016","$524,758",40%,"7,377",67%,0,8
9,"Sep 25, 2016","$526,414",40%,"7,231",65%,0,8
10,"Sep 18, 2016","$619,408",48%,"7,447",69%,0,8
11,"Sep 11, 2016","$524,945",41%,"6,596",61%,0,8
12,"Sep 4, 2016","$634,005",46%,"8,110",67%,0,8
13,"Aug 28, 2016","$552,302",43%,"7,534",70%,0,8
14,"Aug 21, 2016","$526,381",41%,"6,588",61%,0,8
15,"Aug 14, 2016","$584,022",46%,"7,239",67%,0,8
16,"Aug 7, 2016","$633,523",50%,"7,853",73%,0,8
17,"Jul 31, 2016","$640,745",50%,"7,627",71%,0,8
18,"Jul 24, 2016","$666,347",49%,"8,613",72%,0,8
19,"Jul 17, 2016","$745,373",53%,"9,280",73%,0,8
20,"Jul 10, 2016","$640,454",50%,"7,436",69%,0,8
21,"Jul 3, 2016","$681,072",53%,"8,113",76%,0,8
22,"Jun 26, 2016","$712,837",54%,"8,138",72%,0,8
23,"Jun 19, 2016","$643,101",48%,"7,585",65%,0,8
24,"Jun 12, 2016","$674,213",49%,"8,250",67%,0,8
25,"Jun 5, 2016","$628,040",47%,"7,764",66%,0,8
26,"May 29, 2016","$728,531",50%,"9,070",68%,0,8
27,"May 22, 2016","$730,132",53%,"8,873",72%,0,8
28,"May 15, 2016","$645,191",46%,"7,640",60%,0,8
29,"May 8, 2016","$565,473",40%,"7,108",56%,0,8
30,"May 1, 2016","$695,800",50%,"8,838",70%,0,8
31,"Apr 24, 2016","$690,564",50%,"8,975",73%,0,8
32,"Apr 17, 2016","$681,402",50%,"8,402",70%,0,8
33,"Apr 10, 2016","$688,616",50%,"8,247",69%,0,8
34,"Apr 3, 2016","$912,884",63%,"11,144",84%,0,8
35,"Mar 27, 2016","$1,011,004",70%,"11,842",89%,0,8
36,"Mar 20, 2016","$891,778",62%,"10,798",81%,0,8
37,"Mar 13, 2016","$765,481",56%,"9,167",76%,0,8
38,"Mar 6, 2016","$632,839",46%,"8,537",71%,0,8
39,"Feb 28, 2016","$582,997",44%,"8,100",71%,0,8
40,"Feb 21, 2016","$755,395",56%,"9,571",82%,0,8
41,"Feb 14, 2016","$768,883",56%,"8,775",73%,0,8
42,"Feb 7, 2016","$633,021",46%,"8,253",69%,0,8
43,"Jan 31, 2016","$702,766",51%,"8,765",71%,0,8
44,"Jan 24, 2016","$427,882",43%,"5,689",65%,0,6
45,"Jan 17, 2016","$772,428",56%,"9,740",81%,0,8
46,"Jan 10, 2016","$760,654",55%,"9,416",76%,0,8
47,"Jan 3, 2016","$1,155,633",68%,"10,354",78%,0,8
48,"Dec 27, 2015","$1,005,546",59%,"9,120",68%,0,8
49,"Dec 20, 2015","$875,394",63%,"9,005",73%,0,8
50,"Dec 13, 2015","$865,216",62%,"9,191",74%,0,8
51,"Dec 6, 2015","$901,887",64%,"9,267",73%,0,8
52,"Nov 29, 2015","$947,391",67%,"8,564",68%,0,8
53,"Nov 22, 2015","$674,972",49%,"7,658",64%,0,8
54,"Nov 15, 2015","$852,711",61%,"9,436",74%,0,8
55,"Nov 8, 2015","$849,853",61%,"9,587",78%,0,8
56,"Nov 1, 2015","$673,844",49%,"8,838",72%,0,8
57,"Oct 25, 2015","$986,138",69%,"10,711",80%,0,8
58,"Oct 18, 2015","$947,670",67%,"10,069",79%,0,8
59,"Oct 11, 2015","$1,055,639",75%,"10,735",85%,0,8
60,"Oct 4, 2015","$915,993",66%,"9,769",79%,0,8
