,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
135,"Apr 27, 2014","$1,519,830",102%,"11,300",99%,0,8
136,"Apr 20, 2014","$1,629,283",110%,"11,341",100%,0,8
137,"Apr 13, 2014","$1,422,291",96%,"10,769",95%,0,8
138,"Apr 6, 2014","$1,351,725",90%,"10,380",91%,0,8
139,"Mar 30, 2014","$1,489,070",99%,"10,995",97%,0,8
140,"Mar 23, 2014","$1,451,463",97%,"11,101",97%,0,8
141,"Mar 16, 2014","$1,330,377",89%,"10,267",90%,0,8
142,"Mar 9, 2014","$1,268,989",85%,"9,961",87%,0,8
143,"Mar 2, 2014","$1,215,435",81%,"10,044",88%,0,8
144,"Feb 23, 2014","$1,331,106",89%,"10,769",95%,0,8
145,"Feb 16, 2014","$1,431,140",92%,"10,243",90%,0,8
146,"Feb 9, 2014","$1,284,663",86%,"10,607",93%,0,8
147,"Feb 2, 2014","$1,173,857",78%,"10,421",91%,0,8
148,"Jan 26, 2014","$1,385,078",92%,"10,633",93%,0,8
149,"Jan 19, 2014","$1,527,348",97%,"10,795",95%,0,8
150,"Jan 12, 2014","$1,463,770",98%,"11,076",97%,0,8
151,"Jan 5, 2014","$1,781,938",111%,"11,348",100%,0,8
152,"Dec 29, 2013","$2,247,240",124%,"12,914",101%,0,9
153,"Dec 22, 2013","$1,719,272",115%,"11,080",97%,0,8
154,"Dec 15, 2013","$1,768,672",118%,"11,464",101%,0,8
155,"Dec 8, 2013","$1,741,845",116%,"11,364",100%,0,8
156,"Dec 1, 2013","$1,912,568",125%,"11,465",101%,0,8
157,"Nov 24, 2013","$1,567,701",104%,"11,278",99%,0,8
158,"Nov 17, 2013","$1,617,270",108%,"11,329",99%,0,8
159,"Nov 10, 2013","$1,671,806",111%,"11,433",100%,0,8
160,"Nov 3, 2013","$1,625,209",108%,"11,442",100%,0,8
161,"Oct 27, 2013","$1,651,626",110%,"11,469",101%,0,8
162,"Oct 20, 2013","$1,669,794",111%,"11,482",101%,0,8
163,"Oct 13, 2013","$1,810,202",121%,"11,480",101%,0,8
164,"Oct 6, 2013","$1,629,721",109%,"11,469",101%,0,8
165,"Sep 29, 2013","$1,604,362",107%,"11,480",101%,0,8
166,"Sep 22, 2013","$1,584,027",106%,"11,480",101%,0,8
167,"Sep 15, 2013","$1,529,670",102%,"11,288",99%,0,8
168,"Sep 8, 2013","$1,507,607",100%,"11,212",98%,0,8
169,"Sep 1, 2013","$1,683,060",112%,"11,458",101%,0,8
170,"Aug 25, 2013","$1,635,009",109%,"11,480",101%,0,8
171,"Aug 18, 2013","$1,649,031",110%,"11,480",101%,0,8
172,"Aug 11, 2013","$1,632,911",109%,"11,480",101%,0,8
173,"Aug 4, 2013","$1,636,476",109%,"11,482",101%,0,8
174,"Jul 28, 2013","$1,612,845",107%,"11,480",101%,0,8
175,"Jul 21, 2013","$1,604,272",107%,"11,480",101%,0,8
176,"Jul 14, 2013","$1,567,997",104%,"11,480",101%,0,8
177,"Jul 7, 2013","$1,611,599",110%,"11,480",101%,0,8
178,"Jun 30, 2013","$1,528,261",104%,"11,480",101%,0,8
179,"Jun 23, 2013","$1,503,541",103%,"11,480",101%,0,8
180,"Jun 16, 2013","$1,474,349",101%,"11,496",101%,0,8
181,"Jun 9, 2013","$1,411,574",98%,"11,436",100%,0,8
182,"Jun 2, 2013","$1,340,238",93%,"11,430",100%,0,8
183,"May 26, 2013","$1,367,891",95%,"11,476",101%,0,8
184,"May 19, 2013","$1,269,683",88%,"11,496",101%,0,8
185,"May 12, 2013","$1,250,718",87%,"11,398",100%,0,8
186,"May 5, 2013","$1,140,513",79%,"11,346",100%,0,8
187,"Apr 28, 2013","$1,112,163",77%,"11,161",98%,0,8
188,"Apr 21, 2013","$1,056,926",73%,"11,050",97%,0,8
189,"Apr 14, 2013","$1,026,793",81%,"10,819",95%,0,8
190,"Apr 7, 2013","$775,687",62%,"11,271",99%,3,5
191,"Mar 31, 2013","$893,741",62%,"11,324",99%,8,0
192,"Mar 24, 2013","$852,171",59%,"10,893",96%,8,0
193,"Mar 17, 2013","$714,331",57%,"9,632",97%,7,0
194,"Mar 10, 2013","$637,690",51%,"9,653",97%,7,0
195,"Mar 3, 2013","$105,384",59%,"1,424",100%,1,0
