,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$872,402",68%,"8,837",78%,0,8
1,"Nov 20, 2016","$703,032",55%,"7,536",66%,0,8
2,"Nov 13, 2016","$888,131",69%,"9,549",84%,0,8
3,"Nov 6, 2016","$735,177",57%,"7,915",69%,0,8
4,"Oct 30, 2016","$688,766",54%,"7,679",67%,0,8
5,"Oct 23, 2016","$860,092",67%,"9,038",79%,0,8
6,"Oct 16, 2016","$812,892",64%,"8,356",73%,0,8
7,"Oct 9, 2016","$814,850",64%,"8,301",73%,0,8
8,"Oct 2, 2016","$710,277",56%,"7,383",65%,0,8
9,"Sep 25, 2016","$721,051",56%,"7,452",65%,0,8
10,"Sep 18, 2016","$852,889",67%,"9,458",83%,0,8
11,"Sep 11, 2016","$703,823",55%,"7,922",70%,0,8
12,"Sep 4, 2016","$723,909",57%,"7,803",68%,0,8
13,"Aug 28, 2016","$651,253",51%,"7,239",64%,0,8
14,"Aug 21, 2016","$634,350",50%,"6,786",60%,0,8
15,"Aug 14, 2016","$651,433",50%,"7,117",62%,0,8
16,"Aug 7, 2016","$663,156",50%,"7,238",64%,0,8
17,"Jul 31, 2016","$677,763",51%,"7,237",64%,0,8
18,"Jul 24, 2016","$672,382",49%,"7,151",63%,0,8
19,"Jul 17, 2016","$669,140",52%,"7,373",65%,0,8
20,"Jul 10, 2016","$657,585",50%,"7,146",63%,0,8
21,"Jul 3, 2016","$682,678",52%,"7,645",67%,0,8
22,"Jun 26, 2016","$742,726",56%,"7,868",69%,0,8
23,"Jun 19, 2016","$644,007",52%,"6,953",61%,0,8
24,"Jun 12, 2016","$660,084",53%,"7,193",63%,0,8
25,"Jun 5, 2016","$606,568",49%,"6,771",59%,0,8
26,"May 29, 2016","$710,617",55%,"7,472",66%,0,8
27,"May 22, 2016","$796,052",62%,"8,470",74%,0,8
28,"May 15, 2016","$731,462",57%,"7,896",69%,0,8
29,"May 8, 2016","$677,547",53%,"7,146",63%,0,8
30,"May 1, 2016","$714,405",56%,"7,649",67%,0,8
31,"Apr 24, 2016","$665,837",52%,"6,975",61%,0,8
32,"Apr 17, 2016","$683,090",53%,"7,341",64%,0,8
33,"Apr 10, 2016","$626,626",49%,"6,744",59%,0,8
34,"Apr 3, 2016","$784,339",61%,"8,343",73%,0,8
35,"Mar 27, 2016","$1,009,623",79%,"10,100",89%,0,8
36,"Mar 20, 2016","$903,528",70%,"9,266",81%,0,8
37,"Mar 13, 2016","$844,214",66%,"8,630",76%,0,8
38,"Mar 6, 2016","$661,447",52%,"6,865",60%,0,8
39,"Feb 28, 2016","$634,622",49%,"6,747",59%,0,8
40,"Feb 21, 2016","$805,706",63%,"8,618",76%,0,8
41,"Feb 14, 2016","$917,439",71%,"8,756",77%,0,8
42,"Feb 7, 2016","$702,285",55%,"7,954",70%,0,8
43,"Jan 31, 2016","$838,362",65%,"9,059",80%,0,8
44,"Jan 24, 2016","$477,468",51%,"5,490",64%,0,6
45,"Jan 17, 2016","$829,888",65%,"8,286",73%,0,8
46,"Jan 10, 2016","$803,807",63%,"8,253",72%,0,8
47,"Jan 3, 2016","$1,359,430",85%,"11,982",93%,0,9
48,"Dec 27, 2015","$1,075,999",75%,"9,565",84%,0,8
49,"Dec 20, 2015","$844,200",68%,"8,335",73%,0,8
50,"Dec 13, 2015","$983,039",74%,"8,983",79%,0,8
51,"Dec 6, 2015","$1,016,279",73%,"9,155",80%,0,8
52,"Nov 29, 2015","$954,445",71%,"8,768",77%,0,8
53,"Nov 22, 2015","$819,184",65%,"8,638",76%,0,8
54,"Nov 15, 2015","$908,831",72%,"8,922",78%,0,8
55,"Nov 8, 2015","$925,105",71%,"8,977",79%,0,8
56,"Nov 1, 2015","$686,895",55%,"7,288",64%,0,8
57,"Oct 25, 2015","$981,435",71%,"9,453",83%,0,8
58,"Oct 18, 2015","$1,021,115",73%,"9,857",87%,0,8
59,"Oct 11, 2015","$1,040,633",75%,"9,867",87%,0,8
60,"Oct 4, 2015","$873,788",70%,"9,009",79%,0,8
61,"Sep 27, 2015","$901,823",70%,"9,336",82%,0,8
62,"Sep 20, 2015","$1,001,377",75%,"10,780",95%,0,8
63,"Sep 13, 2015","$878,766",66%,"9,804",86%,0,8
64,"Sep 6, 2015","$975,465",70%,"9,351",82%,0,8
65,"Aug 30, 2015","$800,205",59%,"8,684",76%,0,8
66,"Aug 23, 2015","$858,668",62%,"8,861",78%,0,8
67,"Aug 16, 2015","$882,154",64%,"9,103",80%,0,8
68,"Aug 9, 2015","$905,672",64%,"9,376",82%,0,8
69,"Aug 2, 2015","$890,611",64%,"9,205",81%,0,8
70,"Jul 26, 2015","$951,252",67%,"9,666",85%,0,8
71,"Jul 19, 2015","$909,402",64%,"9,393",82%,0,8
72,"Jul 12, 2015","$841,500",62%,"8,802",77%,0,8
73,"Jul 5, 2015","$823,566",63%,"9,175",81%,0,8
74,"Jun 28, 2015","$969,479",66%,"9,579",84%,0,8
75,"Jun 21, 2015","$867,192",59%,"8,458",74%,0,8
76,"Jun 14, 2015","$880,700",61%,"8,462",74%,0,8
77,"Jun 7, 2015","$832,015",57%,"7,942",70%,0,8
78,"May 31, 2015","$855,703",66%,"8,812",77%,0,8
79,"May 24, 2015","$1,012,506",71%,"10,057",88%,0,8
80,"May 17, 2015","$1,017,917",74%,"9,947",87%,0,8
81,"May 10, 2015","$929,720",68%,"9,124",80%,0,8
82,"May 3, 2015","$901,034",68%,"8,471",74%,0,8
83,"Apr 26, 2015","$927,593",67%,"9,087",80%,0,8
84,"Apr 19, 2015","$926,778",70%,"9,034",79%,0,8
85,"Apr 12, 2015","$1,082,034",77%,"10,614",93%,0,8
86,"Apr 5, 2015","$937,627",64%,"9,165",80%,0,8
87,"Mar 29, 2015","$1,004,700",72%,"9,875",87%,0,8
88,"Mar 22, 2015","$1,056,517",76%,"10,381",91%,0,8
89,"Mar 15, 2015","$1,012,351",75%,"10,051",88%,0,8
90,"Mar 8, 2015","$814,313",62%,"8,228",72%,0,8
91,"Mar 1, 2015","$804,924",62%,"8,442",74%,0,8
92,"Feb 22, 2015","$939,884",71%,"9,392",82%,0,8
93,"Feb 15, 2015","$1,012,786",73%,"9,370",82%,0,8
94,"Feb 8, 2015","$819,594",63%,"8,385",74%,0,8
95,"Feb 1, 2015","$839,718",64%,"8,762",77%,0,8
96,"Jan 25, 2015","$1,001,877",67%,"9,890",87%,0,8
97,"Jan 18, 2015","$1,051,429",68%,"9,658",85%,0,8
98,"Jan 11, 2015","$1,006,029",68%,"9,557",84%,0,8
99,"Jan 4, 2015","$1,572,870",86%,"12,921",101%,0,9
100,"Dec 28, 2014","$1,532,084",98%,"11,219",98%,0,8
101,"Dec 21, 2014","$1,126,354",76%,"9,512",83%,0,8
102,"Dec 14, 2014","$1,295,982",87%,"10,317",91%,0,8
103,"Dec 7, 2014","$1,321,866",89%,"10,325",91%,0,8
104,"Nov 30, 2014","$1,314,521",84%,"10,293",90%,0,8
105,"Nov 23, 2014","$1,100,608",74%,"10,077",88%,0,8
106,"Nov 16, 2014","$1,142,851",77%,"10,114",89%,0,8
107,"Nov 9, 2014","$1,147,857",77%,"9,719",85%,0,8
108,"Nov 2, 2014","$1,100,572",74%,"9,904",87%,0,8
109,"Oct 26, 2014","$1,262,059",85%,"10,698",94%,0,8
110,"Oct 19, 2014","$1,363,976",92%,"11,024",97%,0,8
111,"Oct 12, 2014","$1,376,997",88%,"10,998",97%,0,8
112,"Oct 5, 2014","$1,157,229",78%,"10,219",90%,0,8
113,"Sep 28, 2014","$1,230,190",83%,"10,522",92%,0,8
114,"Sep 21, 2014","$1,323,036",89%,"11,086",97%,0,8
115,"Sep 14, 2014","$1,228,758",83%,"11,168",98%,0,8
116,"Sep 7, 2014","$1,172,025",79%,"10,725",94%,0,8
117,"Aug 31, 2014","$1,246,584",80%,"10,743",94%,0,8
118,"Aug 24, 2014","$1,131,425",76%,"10,423",91%,0,8
119,"Aug 17, 2014","$1,219,264",82%,"10,845",95%,0,8
120,"Aug 10, 2014","$1,292,063",87%,"11,105",97%,0,8
121,"Aug 3, 2014","$1,245,947",84%,"10,972",96%,0,8
122,"Jul 27, 2014","$1,305,460",88%,"10,997",97%,0,8
123,"Jul 20, 2014","$1,314,190",88%,"11,042",97%,0,8
124,"Jul 13, 2014","$1,206,479",81%,"10,311",91%,0,8
125,"Jul 6, 2014","$1,237,182",86%,"10,788",95%,0,8
126,"Jun 29, 2014","$1,382,680",93%,"11,060",97%,0,8
127,"Jun 22, 2014","$1,394,435",94%,"11,042",97%,0,8
128,"Jun 15, 2014","$1,372,011",92%,"10,909",96%,0,8
129,"Jun 8, 2014","$1,374,315",92%,"11,022",97%,0,8
130,"Jun 1, 2014","$1,358,527",91%,"10,970",96%,0,8
131,"May 25, 2014","$1,545,334",104%,"11,408",100%,0,8
132,"May 18, 2014","$1,514,754",102%,"11,307",99%,0,8
133,"May 11, 2014","$668,658",93%,"5,524",97%,0,4
134,"May 4, 2014","$1,477,550",99%,"10,914",96%,0,8
