,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$312,461",52%,"3,680",84%,0,6
1,"Nov 20, 2016","$426,167",54%,"4,923",85%,0,8
2,"Nov 13, 2016","$405,006",56%,"4,960",88%,0,8
3,"Nov 6, 2016","$419,734",54%,"4,838",86%,0,8
4,"Oct 30, 2016","$446,287",60%,"5,138",93%,0,8
5,"Oct 23, 2016","$429,489",59%,"4,973",94%,0,8
6,"Oct 16, 2016","$297,088",41%,"5,047",95%,3,5
7,"Oct 9, 2016","$334,446",47%,"5,018",95%,8,0
8,"Oct 2, 2016","$323,738",45%,"4,754",90%,8,0
9,"Sep 25, 2016","$267,064",43%,"4,175",90%,7,0
