,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$1,056,474",69%,"10,667",78%,0,8
1,"Nov 20, 2016","$702,069",46%,"8,277",61%,0,8
2,"Nov 13, 2016","$760,739",50%,"8,791",64%,0,8
3,"Nov 6, 2016","$604,999",40%,"7,250",53%,0,8
4,"Oct 30, 2016","$603,563",40%,"7,446",55%,0,8
5,"Oct 23, 2016","$780,067",52%,"9,244",68%,0,8
6,"Oct 16, 2016","$675,687",46%,"8,065",59%,0,8
7,"Oct 9, 2016","$660,544",43%,"7,980",58%,0,8
8,"Oct 2, 2016","$497,107",32%,"6,034",44%,0,8
9,"Sep 25, 2016","$513,316",33%,"6,767",50%,0,8
10,"Sep 18, 2016","$679,746",44%,"8,671",63%,0,8
11,"Sep 11, 2016","$606,533",40%,"7,609",56%,0,8
12,"Sep 4, 2016","$676,004",43%,"8,604",63%,0,8
13,"Aug 28, 2016","$606,551",39%,"8,017",59%,0,8
14,"Aug 21, 2016","$636,970",41%,"8,369",61%,0,8
15,"Aug 14, 2016","$652,283",42%,"8,632",63%,0,8
16,"Aug 7, 2016","$663,019",43%,"9,277",68%,0,8
17,"Jul 31, 2016","$665,308",43%,"8,831",65%,0,8
18,"Jul 24, 2016","$741,930",48%,"9,775",72%,0,8
19,"Jul 17, 2016","$727,878",47%,"9,631",71%,0,8
20,"Jul 10, 2016","$746,147",48%,"9,645",71%,0,8
21,"Jul 3, 2016","$808,911",52%,"10,286",75%,0,8
22,"Jun 26, 2016","$852,656",55%,"10,254",75%,0,8
23,"Jun 19, 2016","$869,484",56%,"10,339",76%,0,8
24,"Jun 12, 2016","$751,607",48%,"9,213",67%,0,8
25,"Jun 5, 2016","$672,540",43%,"8,673",64%,0,8
26,"May 29, 2016","$734,036",47%,"8,505",62%,0,8
27,"May 22, 2016","$809,896",52%,"9,870",72%,0,8
28,"May 15, 2016","$808,837",52%,"9,684",71%,0,8
29,"May 8, 2016","$754,291",49%,"8,712",64%,0,8
30,"May 1, 2016","$854,640",55%,"10,073",74%,0,8
31,"Apr 24, 2016","$718,586",46%,"8,439",62%,0,8
32,"Apr 17, 2016","$747,626",48%,"8,512",62%,0,8
33,"Apr 10, 2016","$770,572",50%,"8,606",63%,0,8
34,"Apr 3, 2016","$994,179",64%,"11,224",82%,0,8
35,"Mar 27, 2016","$1,126,634",73%,"11,201",82%,0,8
36,"Mar 20, 2016","$961,474",62%,"10,987",80%,0,8
37,"Mar 13, 2016","$888,243",57%,"10,125",74%,0,8
38,"Mar 6, 2016","$801,154",52%,"9,317",68%,0,8
39,"Feb 28, 2016","$773,083",50%,"8,816",65%,0,8
40,"Feb 21, 2016","$977,198",63%,"10,873",80%,0,8
41,"Feb 14, 2016","$1,040,265",66%,"11,361",83%,0,8
42,"Feb 7, 2016","$936,466",60%,"10,804",79%,0,8
43,"Jan 31, 2016","$1,039,910",67%,"11,797",86%,0,8
44,"Jan 24, 2016","$657,219",57%,"8,093",79%,0,6
45,"Jan 17, 2016","$1,112,364",71%,"11,945",87%,0,8
46,"Jan 10, 2016","$1,051,184",68%,"11,728",86%,0,8
47,"Jan 3, 2016","$1,725,264",99%,"14,408",94%,0,9
48,"Dec 27, 2015","$1,339,255",97%,"11,472",96%,0,7
49,"Dec 20, 2015","$837,216",54%,"11,821",87%,7,1
50,"Dec 13, 2015","$1,047,622",67%,"11,729",86%,8,0
51,"Dec 6, 2015","$1,062,494",68%,"11,935",87%,8,0
52,"Nov 29, 2015","$1,221,716",79%,"12,898",94%,8,0
53,"Nov 22, 2015","$490,059",83%,"5,099",100%,3,0
