,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$284,434",40%,"4,737",81%,0,8
1,"Nov 20, 2016","$309,281",44%,"4,546",78%,0,8
2,"Nov 13, 2016","$326,810",46%,"4,806",82%,0,8
3,"Nov 6, 2016","$309,722",44%,"4,266",73%,0,8
4,"Oct 30, 2016","$339,767",48%,"4,281",73%,0,8
5,"Oct 23, 2016","$372,399",53%,"4,967",85%,0,8
6,"Oct 16, 2016","$323,836",46%,"5,566",95%,7,1
7,"Oct 9, 2016","$334,683",57%,"4,418",86%,7,0
8,"Oct 2, 2016","$322,968",48%,"4,872",83%,8,0
9,"Sep 25, 2016","$355,242",53%,"4,864",83%,8,0
10,"Sep 18, 2016","$236,157",56%,"3,394",92%,5,0
