,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$1,533,940",111%,"8,701",102%,0,8
1,"Nov 20, 2016","$1,326,359",99%,"8,731",102%,0,8
2,"Nov 13, 2016","$1,337,461",99%,"8,726",102%,0,8
3,"Nov 6, 2016","$1,292,274",96%,"8,696",102%,0,8
4,"Oct 30, 2016","$1,261,390",94%,"8,681",102%,0,8
5,"Oct 23, 2016","$1,368,426",102%,"8,743",103%,0,8
6,"Oct 16, 2016","$1,360,797",101%,"8,738",102%,0,8
7,"Oct 9, 2016","$1,417,234",105%,"8,712",102%,0,8
8,"Oct 2, 2016","$1,320,590",98%,"8,703",102%,0,8
9,"Sep 25, 2016","$1,294,532",96%,"8,732",102%,0,8
10,"Sep 18, 2016","$1,285,144",95%,"8,702",102%,0,8
11,"Sep 11, 2016","$1,230,293",91%,"8,692",102%,0,8
12,"Sep 4, 2016","$1,288,018",96%,"8,735",102%,0,8
13,"Aug 28, 2016","$1,239,369",92%,"8,670",102%,0,8
14,"Aug 21, 2016","$1,258,954",94%,"8,671",102%,0,8
15,"Aug 14, 2016","$1,305,962",97%,"8,731",102%,0,8
16,"Aug 7, 2016","$1,326,562",99%,"8,735",102%,0,8
17,"Jul 31, 2016","$1,462,531",97%,"9,816",102%,0,9
18,"Jul 24, 2016","$1,347,238",100%,"8,743",103%,0,8
19,"Jul 17, 2016","$1,486,802",98%,"9,793",102%,0,9
20,"Jul 10, 2016","$1,322,710",98%,"8,738",102%,0,8
21,"Jul 3, 2016","$1,324,390",98%,"8,742",103%,0,8
22,"Jun 26, 2016","$1,371,455",100%,"8,740",102%,0,8
23,"Jun 19, 2016","$1,371,176",100%,"8,749",103%,0,8
24,"Jun 12, 2016","$1,343,083",98%,"8,722",102%,0,8
25,"Jun 5, 2016","$1,305,975",95%,"8,726",102%,0,8
26,"May 29, 2016","$1,346,049",98%,"8,731",102%,0,8
27,"May 22, 2016","$1,388,431",101%,"8,744",103%,0,8
28,"May 15, 2016","$1,341,902",97%,"8,731",102%,0,8
29,"May 8, 2016","$1,289,782",94%,"8,692",102%,0,8
30,"May 1, 2016","$1,332,910",97%,"8,712",102%,0,8
31,"Apr 24, 2016","$1,325,465",96%,"8,706",102%,0,8
32,"Apr 17, 2016","$1,343,502",98%,"8,696",102%,0,8
33,"Apr 10, 2016","$1,322,498",96%,"8,728",102%,0,8
34,"Apr 3, 2016","$1,340,418",97%,"8,704",102%,0,8
35,"Mar 27, 2016","$1,414,631",103%,"8,751",103%,0,8
36,"Mar 20, 2016","$1,367,888",99%,"8,738",102%,0,8
37,"Mar 13, 2016","$1,353,456",98%,"8,744",103%,0,8
38,"Mar 6, 2016","$1,278,459",93%,"8,740",102%,0,8
39,"Feb 28, 2016","$1,300,231",94%,"8,672",102%,0,8
40,"Feb 21, 2016","$1,365,956",99%,"8,735",102%,0,8
41,"Feb 14, 2016","$1,472,569",107%,"8,680",102%,0,8
42,"Feb 7, 2016","$1,273,332",92%,"8,635",101%,0,8
43,"Jan 31, 2016","$1,343,531",98%,"8,665",102%,0,8
44,"Jan 24, 2016","$968,563",93%,"6,450",101%,0,6
45,"Jan 17, 2016","$1,496,509",104%,"8,734",102%,0,8
46,"Jan 10, 2016","$1,492,963",108%,"8,719",102%,0,8
47,"Jan 3, 2016","$2,024,551",110%,"9,846",103%,0,9
48,"Dec 27, 2015","$1,891,356",115%,"8,747",103%,0,8
49,"Dec 20, 2015","$1,613,034",117%,"8,721",102%,0,8
50,"Dec 13, 2015","$1,593,849",116%,"8,712",102%,0,8
51,"Dec 6, 2015","$1,536,445",112%,"8,674",102%,0,8
52,"Nov 29, 2015","$1,771,091",105%,"9,717",101%,0,9
53,"Nov 22, 2015","$1,402,842",102%,"8,695",102%,0,8
54,"Nov 15, 2015","$1,487,214",108%,"8,728",102%,0,8
55,"Nov 8, 2015","$1,500,520",109%,"8,748",103%,0,8
56,"Nov 1, 2015","$1,377,010",100%,"8,732",102%,0,8
57,"Oct 25, 2015","$1,483,464",108%,"8,726",102%,0,8
58,"Oct 18, 2015","$1,497,673",109%,"8,737",102%,0,8
59,"Oct 11, 2015","$1,576,943",115%,"8,747",103%,0,8
60,"Oct 4, 2015","$1,489,412",108%,"8,752",103%,0,8
61,"Sep 27, 2015","$1,489,769",108%,"8,733",102%,0,8
62,"Sep 20, 2015","$1,478,350",107%,"8,751",103%,0,8
63,"Sep 13, 2015","$1,438,096",104%,"8,721",102%,0,8
64,"Sep 6, 2015","$1,508,403",110%,"8,741",102%,0,8
65,"Aug 30, 2015","$1,420,003",103%,"8,675",102%,0,8
66,"Aug 23, 2015","$1,443,333",105%,"8,735",102%,0,8
67,"Aug 16, 2015","$1,448,473",105%,"8,689",102%,0,8
68,"Aug 9, 2015","$1,605,195",104%,"9,837",103%,0,9
69,"Aug 2, 2015","$1,474,355",107%,"8,751",103%,0,8
70,"Jul 26, 2015","$1,505,083",109%,"8,748",103%,0,8
71,"Jul 19, 2015","$1,654,152",107%,"9,828",102%,0,9
72,"Jul 12, 2015","$1,450,865",105%,"8,745",103%,0,8
73,"Jul 5, 2015","$1,382,123",100%,"8,751",103%,0,8
74,"Jun 28, 2015","$1,524,996",110%,"8,752",103%,0,8
75,"Jun 21, 2015","$1,517,932",109%,"8,752",103%,0,8
76,"Jun 14, 2015","$1,494,196",107%,"8,748",103%,0,8
77,"Jun 7, 2015","$1,478,236",106%,"8,716",102%,0,8
78,"May 31, 2015","$1,417,312",102%,"8,737",102%,0,8
79,"May 24, 2015","$1,551,727",104%,"8,752",103%,0,8
80,"May 17, 2015","$1,534,408",110%,"8,743",103%,0,8
81,"May 10, 2015","$1,446,131",104%,"8,744",103%,0,8
82,"May 3, 2015","$1,407,988",101%,"8,749",103%,0,8
83,"Apr 26, 2015","$1,469,646",106%,"8,744",103%,0,8
84,"Apr 19, 2015","$1,467,290",105%,"8,716",102%,0,8
85,"Apr 12, 2015","$1,517,969",109%,"8,746",103%,0,8
86,"Apr 5, 2015","$1,517,640",109%,"8,751",103%,0,8
87,"Mar 29, 2015","$1,529,584",110%,"8,751",103%,0,8
88,"Mar 22, 2015","$1,547,575",111%,"8,752",103%,0,8
89,"Mar 15, 2015","$1,540,949",111%,"8,752",103%,0,8
90,"Mar 8, 2015","$1,450,723",104%,"8,750",103%,0,8
91,"Mar 1, 2015","$1,433,408",103%,"8,741",102%,0,8
92,"Feb 22, 2015","$1,548,797",111%,"8,745",103%,0,8
93,"Feb 15, 2015","$1,648,502",114%,"8,749",103%,0,8
94,"Feb 8, 2015","$1,455,237",105%,"8,715",102%,0,8
95,"Feb 1, 2015","$1,423,750",102%,"8,676",102%,0,8
96,"Jan 25, 2015","$1,575,262",113%,"8,750",103%,0,8
97,"Jan 18, 2015","$1,659,010",115%,"8,752",103%,0,8
98,"Jan 11, 2015","$1,609,728",116%,"8,751",103%,0,8
99,"Jan 4, 2015","$2,224,280",130%,"9,846",103%,0,9
100,"Dec 28, 2014","$2,085,228",137%,"8,752",103%,0,8
101,"Dec 21, 2014","$1,862,009",134%,"8,744",103%,0,8
102,"Dec 14, 2014","$1,739,667",125%,"8,751",103%,0,8
103,"Dec 7, 2014","$1,734,478",125%,"8,752",103%,0,8
104,"Nov 30, 2014","$1,875,135",125%,"8,751",103%,0,8
105,"Nov 23, 2014","$1,579,606",114%,"8,742",103%,0,8
106,"Nov 16, 2014","$1,594,690",115%,"8,751",103%,0,8
107,"Nov 9, 2014","$1,638,827",118%,"8,752",103%,0,8
108,"Nov 2, 2014","$1,535,238",110%,"8,751",103%,0,8
109,"Oct 26, 2014","$1,610,255",116%,"8,754",103%,0,8
110,"Oct 19, 2014","$1,651,464",119%,"8,752",103%,0,8
111,"Oct 12, 2014","$1,739,131",120%,"8,752",103%,0,8
112,"Oct 5, 2014","$1,611,038",116%,"8,739",102%,0,8
113,"Sep 28, 2014","$1,596,473",115%,"8,752",103%,0,8
114,"Sep 21, 2014","$1,602,733",115%,"8,752",103%,0,8
115,"Sep 14, 2014","$1,555,886",112%,"8,741",102%,0,8
116,"Sep 7, 2014","$1,532,948",110%,"8,751",103%,0,8
117,"Aug 31, 2014","$1,682,942",116%,"8,752",103%,0,8
118,"Aug 24, 2014","$1,606,698",116%,"8,752",103%,0,8
119,"Aug 17, 2014","$1,759,420",112%,"9,846",103%,0,9
120,"Aug 10, 2014","$1,647,095",118%,"8,752",103%,0,8
121,"Aug 3, 2014","$1,645,580",118%,"8,752",103%,0,8
122,"Jul 27, 2014","$1,640,549",118%,"8,752",103%,0,8
123,"Jul 20, 2014","$1,817,551",116%,"9,846",103%,0,9
124,"Jul 13, 2014","$1,621,274",117%,"8,752",103%,0,8
125,"Jul 6, 2014","$1,578,566",113%,"8,752",103%,0,8
126,"Jun 29, 2014","$1,658,638",119%,"8,752",103%,0,8
127,"Jun 22, 2014","$1,641,677",118%,"8,752",103%,0,8
128,"Jun 15, 2014","$1,604,507",115%,"8,752",103%,0,8
129,"Jun 8, 2014","$1,592,249",114%,"8,734",102%,0,8
