,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$648,601",69%,"6,462",87%,0,8
1,"Nov 20, 2016","$632,590",68%,"6,780",91%,0,8
2,"Nov 13, 2016","$612,384",66%,"6,772",91%,0,8
3,"Nov 6, 2016","$600,206",64%,"6,744",90%,0,8
4,"Oct 30, 2016","$492,541",61%,"6,696",90%,3,5
5,"Oct 23, 2016","$450,088",52%,"6,825",92%,8,0
6,"Oct 16, 2016","$457,577",53%,"6,756",91%,8,0
7,"Oct 9, 2016","$404,430",54%,"5,498",84%,7,0
8,"Oct 2, 2016","$247,603",57%,"2,967",79%,4,0
